area_sqft,bedrooms,bathrooms,age_of_house,distance_to_city,price
1472,1,3,13,21.1781268520079,259828.3995693945
2268,4,3,8,14.282644138379503,461046.70632258186
1782,3,1,18,3.670762343754168,301147.904792117
3930,4,1,13,17.047991467674514,664659.0258755045
1209,5,3,37,19.607325355993282,273622.78458080825
1979,1,3,35,21.40997701872472,314596.8431301582
1934,1,3,39,11.824534619420008,308728.0708678666
1148,5,3,16,17.346139159834102,295207.9797523678
817,5,1,29,14.069907773228481,197836.99541189783
3796,3,3,8,20.489625123815348,631731.6510003493
1757,1,1,32,17.923152052419738,256323.22922937313
1183,4,3,24,16.24693036721491,263790.4515757526
1163,2,3,13,8.23620663830921,239562.88904475755
2498,2,3,10,1.0585370146987836,402824.2908446991
3945,5,1,34,6.048368584031449,683741.1726694991
2131,3,1,13,4.394915201300891,375135.1305384974
1995,2,2,29,14.023457605317455,311804.23878440855
3804,1,3,3,18.755486372093493,628282.9663806286
1636,5,2,3,7.179465251859437,375366.02066443453
2353,4,2,27,28.232655783048425,408207.5412728287
2020,5,1,7,1.1937817474927455,393923.67755970696
2989,4,1,1,23.396729439794942,521823.7315803956
1063,5,2,21,19.130938316382824,255365.65295243132
1791,5,3,15,11.833089230382775,403681.925014494
3957,5,1,28,2.4641793879598297,677029.7878891327
3958,4,3,29,19.197110581744102,694226.7214412309
3684,4,3,11,12.182791873103794,648513.4130768597
2136,5,2,34,28.151747042983356,374860.7761888803
3499,2,2,10,16.717712171803214,553148.0464960375
3652,3,2,20,28.249893827511737,592613.933085454
1198,3,2,20,7.394027110725819,245323.2552533932
2660,3,1,4,22.046051400558994,453671.8657107026
501,4,1,19,18.900221604613044,134694.16792861035
1141,4,2,36,22.44283866510804,244566.93907585688
2767,2,1,2,7.225368055203567,457308.2204678578
2089,3,2,32,20.284840970895438,327521.0150560333
1354,3,3,8,15.4431713986492,284440.3782743639
2259,5,3,8,22.541924272283172,424806.3954112196
3796,4,3,3,10.484294680402716,685586.5700345627
2932,3,2,34,26.811653738492325,491646.24124628137
3974,2,3,16,3.4447381237291608,650061.894582033
2161,2,1,33,24.408490244944453,349619.8600509333
1653,3,3,23,25.978269148637633,321214.1995222888
1576,4,3,31,24.700317029637816,329996.885301588
2207,2,3,0,15.869065433591505,403024.392412928
3277,5,1,7,13.713164420892078,572345.3579428307
2195,2,2,22,29.891606309221427,363470.62510799064
2233,1,1,39,7.645986585210702,321734.9998132642
1939,1,2,11,16.859403010405295,316958.864581145
2794,4,2,11,20.44959023608744,497280.1448718583
1335,3,3,14,21.325161439981528,289595.2764119719
702,4,2,18,6.916715306418782,204938.18978243117
3755,4,1,25,19.965828677854237,617075.6843474602
622,4,1,28,24.732717427958782,111893.17466893891
900,4,2,21,2.4505387278122543,216221.04927424973
1266,5,3,39,27.434117506434177,286829.2168358321
793,5,3,20,1.855617599210972,250296.0363164878
2827,2,1,37,11.323159942163436,415578.5110416436
3431,1,3,19,1.4585826907558999,535892.5977222107
697,4,2,28,3.2372098876478743,191845.42736471398
3529,2,2,3,27.423880270222295,553670.2622140411
2430,1,1,6,11.290964091638287,368997.0889957981
3299,3,2,27,13.318374382326533,560020.7415494133
2691,5,1,27,7.244987060094026,507838.5946461411
1108,1,2,3,18.315777335414875,184223.69225904066
3772,3,1,21,18.2492932256559,605079.3021601614
1647,1,3,11,11.793811362931358,290342.48864730325
686,5,2,2,10.658011282356552,218178.9271471957
3897,5,2,21,26.663964937237047,671695.0122051074
3011,2,1,1,12.11524294962384,505082.2409679785
3920,4,1,23,15.311528772477839,639179.6060265782
2294,1,2,33,9.215838110322988,335604.998871936
1159,1,1,26,23.816315597356695,189583.8334066997
3311,3,2,0,12.525996550073657,590465.3323172771
3502,5,3,7,15.894720349785413,632250.7115814736
2455,1,1,22,8.34735793173018,379337.1221999091
2950,5,2,37,29.6421281778963,528418.4042908953
1869,1,3,5,9.453376486787963,343132.28268110263
2486,2,3,21,23.351533396260997,424678.66625267826
2034,4,2,24,13.397373860346017,379949.2227657778
646,1,1,17,6.980304747440057,137229.25412848932
3719,5,2,16,24.191844154980974,654171.0389319109
3411,2,3,11,10.674596881842252,569451.0142283475
2234,1,2,5,26.09060707453652,368075.52885814745
2343,3,1,25,27.54245836261687,380348.4212666544
988,4,3,26,25.934891226347002,231712.0746824573
3476,1,2,7,2.015229529397364,566832.0084944707
2459,2,1,18,23.833827005148063,393067.8066013556
2163,3,3,0,12.928844528475173,401844.3116705367
3098,2,1,28,26.33796468528453,449195.43950716534
2885,2,3,34,19.500673617857423,492561.3172306463
3419,3,2,39,25.175650890174794,550218.1175366627
1140,2,1,13,15.483521326138225,211679.18783499044
2302,3,3,34,16.51573963336905,380187.8720639666
3020,1,1,19,5.18724133187635,483613.00529884116
2469,3,1,12,23.735633401991308,404192.0819176721
2698,3,2,37,13.162298738342178,439844.42875952215
1938,4,1,7,15.502323429875895,363647.07905564434
3869,3,3,19,23.76783370877552,631712.4631330867
2134,3,3,32,18.36651660230373,381107.5079243122
762,1,3,25,6.831863095837356,150423.06169894536
2287,4,3,38,18.11674711537589,435439.1914631324
2691,5,2,20,12.821352881410018,527528.814650682
2893,1,1,8,14.616240719272017,470156.49617335177
1123,1,2,23,1.8210269576773657,164261.2483513809
1516,5,1,36,7.090851135972167,292481.64641637856
1380,3,1,16,9.15010436004982,225926.59418261476
2549,2,1,23,21.67584022790537,379371.02565556916
3444,4,2,20,1.3332817256453442,599523.9451107972
1827,2,1,38,12.85454057564483,291953.88365275937
2801,5,2,38,27.796779242346254,484154.22224026563
952,1,3,12,4.244537879924591,186574.41105584573
3608,1,3,10,15.97630725833972,584950.1629896568
1683,4,1,18,23.809149089334564,283601.2062325482
3562,1,2,10,28.333407918083385,535387.6947874586
2556,1,3,12,22.65652254647782,408590.1280662616
3804,4,2,0,21.896400910687777,655667.569259842
3670,4,2,39,24.96815461567711,605486.1552377061
2182,5,1,18,13.939835408348767,436469.91143764684
3363,1,3,11,24.36949144591716,549905.5509702993
2755,1,1,7,1.2309677376180828,429879.3818950029
1654,5,1,7,27.812270605927342,325767.7935023006
903,3,3,11,13.855888775998084,212852.52416762005
2699,3,3,32,17.04802544810668,459489.6868040821
2601,3,2,25,8.391585218531587,455846.152168782
3691,5,3,38,22.53339415237222,617819.9125530641
2196,1,2,27,3.2224383877822156,367788.27743231505
1127,5,2,4,26.306438273858223,294946.8235868721
1086,5,2,7,25.01538804118394,258237.00384873882
2148,3,3,24,7.2657433710982255,396393.7902521343
1943,2,1,26,24.470407550272608,303535.2561578575
1945,1,2,22,23.804374258782964,315636.4153956202
603,3,1,29,19.33428133486452,118051.31291287683
753,2,1,22,11.832085130090938,152527.09236143512
3798,2,3,19,8.873463871274168,637953.9562155245
3683,4,1,17,7.721724118391151,661552.4475416791
3057,1,1,17,10.239659920144607,464780.40985242097
1996,2,3,1,27.20319485954338,326756.79842464416
598,3,2,3,3.251582503674657,152554.3306860426
2700,4,1,29,25.0372670113358,451941.65654966654
2384,1,3,32,11.117812176212883,401300.4192340984
3461,5,1,35,16.126382484329387,580235.9804093598
2419,3,1,17,24.04008337580623,396745.92987606383
1377,2,2,36,26.646919863666167,231375.72119630745
837,2,1,18,10.998661182106764,140672.84980471636
3369,3,3,27,14.393460956978199,565187.4980550996
3734,2,1,39,13.020965879686976,553363.1338061591
1456,4,2,19,1.384279971613406,329489.141421625
2204,1,2,32,9.582343776901041,368542.7484000445
660,4,3,11,14.316487778244293,177192.2873793598
2103,2,2,14,12.921714657532753,359195.5028576439
3348,5,1,38,21.935947597954705,585972.9370280196
897,1,2,1,12.159304899411994,177571.12285492156
1800,1,3,28,15.191917020149436,290069.4944848642
1315,3,2,9,13.458649171838537,243398.91903399798
2027,3,2,1,22.478158317936746,388066.0099594062
2419,5,2,10,26.026199570621912,464231.5286535456
1915,1,3,12,16.42478329121791,304130.42089265573
1658,5,2,9,23.893533631660546,365454.8321764643
1718,3,2,13,9.606813778575667,303687.13279505627
900,3,1,17,16.699718694560794,176392.98899292803
1139,1,3,8,11.011668656429201,214469.11079298888
3604,4,2,38,13.011826841583078,631463.8930911344
3235,2,3,27,22.24000207956739,522494.3050422303
959,3,2,2,26.56821198764867,201712.14771784045
1454,3,2,19,4.523366341545197,267930.4584849894
969,4,2,5,19.404538438134036,222339.49637598687
3946,4,1,26,17.882170419756157,635958.3976670342
1545,5,1,1,4.434036136102025,330037.62837382755
3297,5,1,28,7.144935582763163,580099.332290615
2193,2,3,37,10.019072347247727,337818.28186511336
2585,2,3,2,5.841001053707543,442655.54526503896
2777,1,1,15,8.068154993205912,429816.5619026868
3936,5,3,29,8.760423166989519,705258.3970795695
1062,3,2,39,10.734541158132728,203863.96686220885
2985,5,2,1,22.73232313123361,553605.7595219921
2299,3,2,16,17.585453911667422,398327.79688350385
3854,4,1,11,29.601153486590643,634421.2774649644
2574,5,3,34,13.02733898205666,497384.7943218766
725,4,1,0,22.862087141270827,187294.91878904408
3848,2,3,14,26.27258421991948,614393.039608203
1297,2,2,25,20.690376298103217,237586.04479564104
2831,1,1,36,12.944077472107384,420262.55294544244
3426,5,3,20,22.854244291626834,638528.9650534696
1459,4,3,30,6.906346995407861,334436.73947359837
2004,3,2,24,10.49901279022384,339260.0863891775
952,2,1,22,16.853872397879375,150460.71451909
3567,2,1,23,17.686872231298302,566166.3483682598
1315,3,1,37,1.6421027887062543,216034.51090935952
1158,4,2,27,28.408311473924254,254994.34296647634
1046,4,1,20,21.20219086530431,209539.57621250575
1715,5,2,17,15.375408756724841,366900.0867699104
3620,5,2,35,28.060689797840944,615193.4502592474
516,1,2,34,13.733771392274026,65580.38569097067
3743,2,3,8,29.43263153784078,626450.5374941388
1743,5,1,37,15.856257960061068,372254.58749799884
2705,4,1,29,4.314287329941404,465510.5885247232
3024,3,2,33,23.17922820131904,489185.3935360023
1569,4,2,31,20.688034027257373,260125.47282373675
3944,2,1,2,23.416614917862017,641855.9286339799
3065,4,2,2,28.59181883304475,553234.6610095854
2646,1,1,27,23.518189776879524,360781.0522922968
2268,2,3,14,18.72876146428276,364297.9566050139
1560,3,2,22,25.861958168464387,251299.57258405664
2827,1,1,39,20.524146741281413,417003.39013931085
3920,2,2,10,12.835452647951769,648339.4186462595
3044,3,1,31,26.682973163011425,466267.01767145674
801,1,1,35,7.435113362746813,127203.78710799517
680,1,2,32,21.724596972353,107058.55984251428
1106,2,3,23,26.56534019328195,200425.61420390478
3670,5,1,38,22.20817907139559,627444.7733288839
1199,1,1,33,21.22098715256185,149154.97882901758
1492,1,1,27,22.826510528083244,231586.5776758252
1639,3,3,36,14.486602200718687,296635.57448906597
690,4,3,6,26.350949782553755,224072.1004469519
2800,2,2,3,6.8996577789466444,465620.7518688314
1480,2,3,36,4.6942060640098395,268232.21275698824
3475,5,2,0,9.279754623436835,642849.0524396985
2506,5,2,0,16.4157445064748,490269.03371086245
1684,2,3,19,15.806292066870805,313956.13544240064
3827,5,2,18,24.797363972621014,645567.3997536788
3894,3,3,28,12.732491035716505,653407.822840584
627,2,2,9,15.04598836245375,143875.98723358705
2565,5,3,17,1.3876628145224734,506846.2638250556
2316,2,3,27,12.882437856845232,403978.44140504603
2258,4,2,34,19.78545275555992,381518.99854212336
3113,1,1,30,1.4497415881711733,471603.4500760686
1069,2,2,26,9.145576990401068,189106.66114354393
1846,1,3,10,7.030734419392308,322017.8016373724
2395,5,1,37,2.2175774383780587,464137.95446043997
3233,1,2,4,14.898542607521588,538848.2932848394
1125,2,2,7,6.269975503616538,245936.27140510178
3859,4,2,33,22.549364649310025,632966.7761494772
3401,5,1,11,25.589908629137106,604374.365522866
2186,2,3,37,16.821970297405286,368163.4616064818
3509,5,2,0,29.469512933113105,627564.332619432
654,3,2,30,14.063878572647265,148875.70121306521
3037,1,2,3,15.88767809652255,513638.5897641643
1909,3,2,4,29.687314864774756,363950.2642185722
1284,2,2,29,7.714904642986416,242858.54163372004
3675,4,3,23,28.333832250630252,626961.6532667103
3964,5,3,2,2.2422890984542843,736351.1222753641
745,1,2,10,13.94521981763265,147763.27925043338
3747,5,1,3,3.030101851858907,663795.7644703308
3610,2,3,25,22.147807544495645,598426.9281949719
2000,5,1,26,18.643859140520515,361737.46418783587
2205,1,3,26,21.492393640560294,359335.2616794008
3306,2,2,5,11.859931599072493,515694.33515403804
1037,5,3,14,11.71497608691003,269375.746014058
2390,4,2,29,2.3142590898659434,474150.8979039257
2341,2,3,36,11.148403246359553,411744.4691695191
1420,2,2,36,27.949363665599723,249282.66308341813
2955,4,2,36,11.99756957823302,502442.8154114513
1024,3,2,34,25.109663480437128,192846.9290715694
3375,1,2,22,25.427439637748087,532452.4441586665
2029,3,1,5,11.823993534997781,373022.43048558285
3450,5,2,3,19.32767173148948,633400.8164288853
535,4,1,17,3.7657764659187003,182342.95308903226
1184,3,1,8,4.006678841294018,226586.49667449706
519,2,2,28,2.4110722461896863,120275.35716212778
2868,5,1,12,17.849437707878174,491439.2788520815
3059,5,3,16,13.356058351156813,561267.3508698092
899,3,2,31,16.892938343262962,199269.8425394216
3201,3,1,21,16.111122524743248,508478.6384823749
1471,4,2,3,11.155886741631178,328126.97707024525
2406,1,2,4,20.646729029880714,411930.5465996405
3018,3,2,36,22.99655454657533,488234.3728285456
1666,3,1,12,1.4242195074525958,321673.7320895446
1615,2,3,33,7.010026693297471,304989.6552498463
3925,5,3,21,21.68384017441677,676943.7338795847
1333,1,1,22,12.211985006381191,195891.22981410308
2323,2,2,2,20.212034461306637,381583.04736361635
3274,4,1,33,11.061917132302193,540587.2362164524
2482,4,1,31,12.331899417559475,440909.761053657
1353,3,1,20,5.601687337000863,247420.36169886478
550,3,2,20,8.48869957031864,147484.00202570413
1074,4,1,10,18.55694096772003,213906.13477831145
3761,3,2,38,13.561730228139826,628584.6022398657
1648,1,1,3,23.45477780539326,248168.57234125666
2697,3,3,0,25.72496369321194,506669.74458543735
2861,5,1,27,16.707746128286036,506756.19027945434
3117,3,1,23,22.989751469625716,480055.25486092805
3913,2,3,34,9.90023088264253,632284.3679191731
2852,1,2,12,13.034165246602267,439224.18234140525
2215,2,2,33,21.670552610288098,363019.6880503842
1181,2,1,10,12.20014779169389,208029.4104734031
1337,5,3,35,18.066643119610674,301931.5107057996
1577,1,2,16,6.375810593392833,261833.89275590875
3550,1,1,34,18.393368134144442,513576.49730790564
2991,1,3,17,25.983897509579915,459461.7723461857
3160,1,2,39,26.190549554879343,479152.7944974436
3540,1,2,21,22.00598778355665,539596.7156894478
2811,5,3,23,22.626847993207654,520902.7886013166
3624,3,3,18,17.17989590937032,614046.8956139974
2095,2,3,36,17.955374614808917,342311.69848290447
3551,1,3,38,4.875866860905022,557703.8617374547
504,3,1,20,13.871916464217733,123812.53075618458
1626,3,3,7,14.07251223270455,313715.432781444
1719,2,2,27,28.796437234364465,264113.28286944743
1273,5,2,4,13.501519016075394,324922.7423882647
1376,4,1,16,16.93093670217997,266227.7153058267
1491,4,2,36,16.46429057909397,280112.29728704586
3431,3,2,35,19.466089794285487,537025.8361223254
3921,2,3,18,22.69875210862498,648811.4124534886
546,4,2,26,7.526214408955291,147734.89838838205
3414,3,1,33,16.333008153854635,544137.6019317235
3370,5,3,10,24.951613512164883,591925.6104480863
3483,4,3,11,14.430326701287832,636492.2653041739
3203,3,1,20,9.075268844833618,548027.5748094451
768,3,3,10,19.986563185332674,199481.24199683758
869,1,3,38,24.889254478174564,117043.54355074599
1135,5,1,27,2.8310684948943483,273400.3636637441
1629,1,3,4,23.526924018809588,270212.8409865851
2193,2,1,16,24.827790055891363,328757.63176328444
2182,1,1,19,14.384164900069598,326963.9194135656
1156,1,2,11,29.515864047735555,179033.6208520671
619,4,2,5,23.814541880511964,167459.72835178368
1330,3,3,16,23.436214381974306,287368.8993365961
2310,5,3,18,22.687318657950083,484590.07128868933
1581,1,1,25,5.367634993329946,226245.3169464281
2474,5,3,31,7.299695707137314,473667.8183779939
1869,1,1,5,14.455713812468325,299035.511228206
1240,2,1,35,8.65612614882451,198513.12648711706
616,1,3,37,13.041988197687173,120748.99304149057
2353,4,1,10,26.7654591877647,426924.3211514223
3338,3,2,32,24.90547986449881,551435.0092695518
1650,2,3,23,19.271156475919483,303974.84704182803
3964,1,2,22,25.885491433282002,626000.9413805138
2431,5,3,14,23.72939928150023,450886.3914747581
1512,2,1,26,13.440563023385824,269761.0688559334
2164,2,3,10,6.8308894094484085,388574.2360792054
1581,1,2,16,15.911830160270837,270215.0481498636
1133,2,1,13,22.350637593327953,176754.36898248037
1012,5,3,26,13.656168363158198,248716.38575844266
3349,2,3,17,20.33638538373302,563345.3739884974
1619,5,3,27,3.735495362440265,333583.5542963121
1641,1,2,3,22.6921373547707,285899.493819554
1059,3,2,6,24.568694976898797,238380.75755822504
987,2,3,34,21.49829781763569,187018.4749897987
3808,3,1,8,29.0506440382646,612875.7714954137
1396,5,1,7,24.97290966635857,281322.5481600147
3843,2,2,16,27.189718108419612,616577.0229276355
1712,4,1,16,28.073561420271794,316141.4172758396
1203,3,2,32,24.239091764340447,206788.3272953022
