age,tenure_months,monthly_charges,support_calls,contract_type,churn
18,7,80.05943333606173,0,1,1
52,51,71.56794276964978,8,2,0
54,42,111.93919732144174,7,2,1
64,64,69.69634829058302,6,0,1
31,15,119.21580148233127,9,2,1
20,29,105.14249577450957,6,2,1
18,33,40.85105143573358,4,0,1
22,27,113.05952146439162,4,1,0
43,36,31.63663978854761,4,2,0
31,29,101.74497084911916,0,0,1
56,38,58.06232934765801,7,2,0
44,57,107.79743204450695,0,2,0
26,27,106.80566901074504,3,2,0
32,55,100.59254001176211,8,2,1
32,33,99.00304363070614,8,0,1
43,68,50.46791390980408,4,0,0
59,66,28.09192830512522,3,0,0
30,10,60.29801787651615,2,2,0
68,5,37.352451498650865,2,2,0
49,38,89.49510889024617,4,2,0
56,13,54.609972653778556,9,0,0
66,31,117.56102008599149,0,2,0
69,47,84.0972077345332,4,1,0
49,52,102.24805636343609,5,2,0
21,56,33.252467274184845,6,1,0
47,15,106.20144822726226,8,2,1
54,29,112.27571905133944,2,0,0
40,8,68.70619188189359,1,2,0
56,5,80.62529377509775,2,1,1
62,29,96.48098009029954,8,1,0
32,47,37.48386272604125,6,2,0
60,68,70.25660764634424,8,1,0
46,45,59.86630277723131,1,1,0
53,2,34.63739921622491,4,0,0
30,27,56.753442229153144,3,2,0
49,36,26.817230938549358,1,2,0
24,36,22.5811906949487,8,2,1
68,26,33.51662891548227,8,1,1
39,43,116.31151115891738,5,2,1
45,27,74.9529535895017,5,2,0
19,69,116.582216115322,7,0,1
59,20,63.2497878330132,5,0,1
62,11,51.181613308525954,0,0,0
23,38,70.61418628402441,3,1,0
45,6,63.95116886329101,6,2,1
45,23,30.566468426174392,1,0,0
61,47,84.08263146902063,8,0,1
61,46,41.60381825095996,7,0,0
37,12,81.95879548978296,7,2,1
47,13,85.02010923981534,6,2,1
28,62,35.20248531286481,3,2,1
45,60,26.134962711066816,1,1,0
42,43,98.07615860684398,2,1,0
56,68,65.98004237693202,5,0,1
50,5,25.81637955054758,4,2,1
18,37,119.48663171697672,7,0,1
44,31,25.778056099636665,5,2,1
69,9,89.50352288585532,5,2,1
30,51,118.36789252634136,0,2,0
58,29,43.91801042159256,3,1,0
20,40,34.22493686871962,4,1,0
56,41,32.13849394224289,2,2,0
23,11,50.327514756759555,8,0,1
25,23,30.104581101064667,0,2,0
44,1,89.2161341694132,5,2,1
26,46,26.22917981300627,5,0,1
54,21,70.94221281497897,9,2,0
50,36,119.66968538529768,4,0,1
68,54,101.39702695060188,4,1,0
59,57,81.52194382310108,9,1,1
61,1,50.62536207866117,4,0,1
41,63,82.38958362916384,5,1,1
32,54,72.70414639116515,7,1,0
49,55,62.60833838903715,1,0,0
49,40,33.07103767401995,5,1,0
41,15,108.66042152404667,0,2,0
58,21,64.97846488213224,3,2,0
69,47,39.46225118207651,9,0,0
66,53,56.77593508772896,2,1,0
66,9,61.4129752528927,8,2,1
69,52,102.75378955668742,2,2,0
29,57,93.3614380561402,5,1,1
56,26,96.93048936413398,0,1,1
19,41,21.10312644286472,5,2,0
20,35,61.615399817976154,3,2,0
66,63,68.13441516353237,7,0,1
54,25,21.919227682305667,8,0,1
66,38,45.981320874503425,3,2,0
34,2,96.0289823122135,9,0,1
66,7,33.7109705728999,9,2,0
19,34,73.53101314525917,5,2,0
19,17,41.52018720172375,0,0,0
45,43,21.212077464389328,3,0,0
40,59,44.12014575995415,6,1,0
54,51,117.58737549100537,0,1,0
49,54,100.15371118829896,7,1,1
50,24,115.95766443210334,9,2,1
18,25,68.78540439263625,5,0,1
36,71,30.97361986775035,4,2,0
19,52,74.7959488973693,9,0,1
61,70,65.4377334559961,8,2,0
43,33,104.4357082739616,1,1,1
49,49,29.80825807842446,4,1,0
23,29,68.82411370217781,5,1,0
49,63,35.00486646939842,6,2,0
21,22,52.467592689006,4,0,0
28,26,93.73570773877996,8,0,1
34,28,67.60181293687666,0,1,0
55,49,57.58882851457693,6,1,0
41,71,59.44762785700353,9,1,0
22,49,65.94467684059866,6,1,0
69,20,98.50165438370568,3,0,0
51,63,109.20846889402344,8,2,1
23,61,115.53346865039283,4,2,0
39,49,98.6903386255295,3,2,0
28,71,51.54068957480128,6,2,0
65,1,88.81347060865421,3,1,1
33,13,63.760312405539196,2,1,0
50,51,45.467062204605114,8,1,0
26,56,104.08715794259226,7,2,1
23,62,23.8426348962325,0,1,0
33,32,110.17619921354235,6,1,0
46,30,66.1477464624734,8,0,1
20,29,83.72014768082803,7,0,1
37,49,85.93539222057827,7,1,0
53,45,109.51177407065364,5,0,1
36,30,83.66696821672073,3,0,1
43,16,81.39335847600617,7,1,1
20,40,26.665204056068994,2,1,1
36,19,71.8408021945204,8,1,0
37,18,35.016900081704165,1,1,0
49,1,93.74337687214856,1,2,1
24,47,71.22219208126745,6,2,0
69,66,88.02277792083532,9,1,0
58,38,24.16729006023843,3,0,0
50,51,28.47920160458032,9,1,1
57,63,91.63233880626822,7,1,0
56,4,27.208433599867337,8,0,1
35,1,27.12567277652586,6,2,1
57,8,21.210847523488745,4,1,0
18,29,115.65013982994802,7,1,0
28,55,93.75083594590069,3,2,0
45,3,55.32514085020642,1,2,0
42,32,49.653558128765525,5,0,1
67,10,54.97032297458495,8,2,0
40,34,97.46535311811819,0,2,0
48,55,86.13706110704143,9,2,1
47,32,38.51955678674679,6,0,0
59,50,37.41093353340844,9,2,1
52,7,29.839564971339733,8,2,1
24,8,86.03027197013381,9,0,1
33,65,96.43726622217359,8,2,1
43,57,46.5046428325004,9,2,0
65,67,22.09449610309128,2,0,0
69,59,28.217166747642736,4,1,0
66,54,116.78600348450304,7,0,1
19,67,49.54447774774202,7,2,0
18,51,96.92231478381336,3,2,0
65,8,82.46635688542638,0,2,0
29,34,58.19396396528959,0,0,0
22,35,40.568726219555515,3,2,0
54,32,32.138641815940645,5,2,0
49,46,81.50129680388666,7,0,1
26,16,97.4633780637788,5,1,1
58,68,84.39042535411306,8,1,1
52,37,73.03021332491583,8,2,0
36,54,24.195122343163625,1,0,0
65,14,116.84887775943838,9,2,0
33,55,99.87141916545745,0,0,0
20,48,49.28220367009648,1,0,0
37,7,117.99703293588506,4,1,1
41,7,80.18815896363222,3,1,1
50,33,78.24226582072464,3,0,1
41,23,94.8073179429532,8,2,1
69,19,101.17697880901376,7,1,0
28,19,85.64786073315027,5,2,1
66,36,32.80957463662,0,1,0
25,29,53.82675059944984,1,1,0
53,60,112.80836403260497,5,2,1
55,2,42.46156118438519,1,1,0
57,1,57.21670238375133,9,1,1
37,47,63.2076882944196,4,2,0
52,69,63.940498969445215,4,1,0
65,20,81.29395824945254,5,1,1
42,11,114.30758377447076,5,1,1
52,2,44.06927118325049,5,2,0
42,67,32.150137630091805,1,0,0
46,12,39.74704898599373,9,2,1
35,20,108.69249002092695,2,0,0
63,5,84.5810812655206,5,1,1
35,37,48.590678923916016,7,0,0
19,38,101.59469389686173,0,2,0
52,9,106.1369996363436,0,2,1
33,53,104.6514338690278,1,1,1
58,44,111.89265336395545,5,0,1
53,24,45.22410201733616,8,1,0
50,30,95.50419287462783,3,1,0
21,59,66.053949727414,2,2,0
50,14,104.19985528900615,7,0,1
31,9,92.84906771616131,9,0,1
38,40,97.64474464997247,8,0,1
65,66,85.61618376810715,4,0,1
37,25,37.74287694697068,8,1,0
25,22,74.50269188969384,1,1,0
24,4,118.46697395245081,2,2,0
20,26,113.73880664971189,6,1,1
34,58,24.31737357970117,6,1,1
50,29,36.481481572943714,5,2,0
65,37,33.17287734545619,5,2,0
29,70,92.59799099852955,1,2,0
68,18,101.77853298569451,9,1,0
39,42,41.35113663106719,5,1,0
39,41,70.5852692951829,3,2,0
63,38,104.07030280112,2,2,0
47,34,93.28015447662506,1,2,0
55,17,74.22372054918483,0,1,0
55,37,79.03476904587728,4,1,0
62,25,70.836054691628,1,0,0
68,27,49.75484513188206,1,1,0
25,57,76.50219928590161,6,1,0
44,31,88.88853020500906,7,1,1
44,6,107.33229158608077,9,2,1
51,40,83.62913539792481,7,1,1
38,12,96.1121537043158,3,2,0
47,53,36.0071634954573,0,0,0
50,71,66.15574744197899,6,0,0
45,10,20.93316198270933,0,2,0
64,45,44.66788645216231,3,2,0
50,17,92.64617151130048,7,2,1
22,26,119.18099513493634,1,1,1
65,62,29.91780995872159,5,0,1
36,46,60.14943158612883,5,2,0
21,64,100.00709686991596,8,1,0
52,2,40.403563462889885,4,0,1
66,54,75.50849493022862,9,1,0
34,65,93.30712960296748,3,0,1
61,51,81.5985450260179,4,1,0
45,53,38.80247346154161,9,0,1
47,36,55.538456868573945,4,0,0
46,26,98.37917844853972,7,1,1
63,29,75.42265141320166,9,2,0
23,21,20.522961354291272,7,0,0
52,11,96.09907600280938,1,2,1
58,40,23.531135494023907,6,1,0
54,11,94.57337827312321,7,2,1
41,36,40.24805601652374,5,2,0
46,59,115.80734801193802,4,2,0
66,39,56.79407513020845,8,2,0
63,54,52.69316163380791,2,2,0
48,55,34.888805033244466,9,0,1
52,24,50.560421549021484,3,0,0
50,22,107.66507618282006,8,0,1
69,69,119.63343376272474,5,1,0
38,56,56.83095305068483,7,2,0
49,33,64.86106309545426,6,0,1
40,36,92.2070938202737,1,1,0
50,20,108.61957804650746,2,0,0
20,62,79.30443341867841,0,0,0
35,26,59.15256981778293,8,2,0
42,66,61.262184084862376,6,1,0
59,40,89.56181464968068,0,2,0
48,17,20.321826360427867,2,2,0
20,1,81.95893374598407,3,0,1
57,61,55.54930104413574,3,2,0
63,43,99.41973312770843,4,1,0
41,42,29.299063982313214,2,2,1
67,25,78.82022669483905,2,2,0
49,39,68.09728898861238,0,2,0
64,35,84.23255259052274,6,0,1
39,3,26.485359448296833,9,1,1
40,44,77.99837874281313,0,0,0
19,51,76.14845879595237,1,0,0
44,12,76.0660094416171,3,0,0
59,19,80.34876665964548,3,0,1
19,44,87.64679372263622,4,0,0
43,59,100.49889996807697,1,1,0
34,49,46.98207201282143,3,2,0
57,61,102.5049410180062,0,0,0
50,17,69.82556822634535,1,0,0
26,57,27.70582791343312,0,1,0
60,55,25.85509292439792,9,1,0
65,47,53.42383186960608,9,2,0
56,12,98.48969771114676,3,1,0
46,62,90.76809347409157,3,2,1
59,8,98.86149646724064,6,0,1
43,21,71.72690564416094,9,0,0
52,70,64.01989979554907,8,2,0
67,25,34.745252670628396,8,1,0
42,12,52.81927536093116,4,2,0
41,15,63.40193661738753,9,1,0
30,59,28.860042967961725,0,0,0
24,26,42.06119527112112,0,1,0
53,26,79.82252940637389,5,2,0
62,47,93.56631142391899,1,2,0
37,32,119.83475113929497,7,0,1
18,10,113.31133313435576,8,1,1
25,16,84.25651995351916,3,1,0
63,71,62.1248053294072,4,1,0
33,17,83.61773647082327,7,0,1
31,23,98.56516180802319,2,1,0
29,26,31.833619092338733,4,2,1
68,7,60.99048896962883,2,1,0
40,14,103.98022856356172,9,0,1
32,7,58.3832951933044,2,1,0
45,9,77.18722712271865,2,1,0
51,48,78.77693608621982,6,2,0
19,59,38.447625313363936,6,1,0
49,39,56.22354416522884,6,2,0
40,18,53.451128874193216,9,2,1
39,59,22.61967085320648,7,0,1
68,17,22.419176389135526,4,2,0
42,14,103.16970436757735,4,2,0
39,31,47.30708099728124,3,0,1
39,24,71.80787662388154,6,2,0
66,60,49.8725573588773,9,0,0
69,45,114.06792451153404,3,1,0
59,3,45.92967588657737,1,0,1
23,37,62.96568127389351,3,2,1
32,43,107.27302504846018,7,0,1
60,40,104.19335667918087,8,2,1
54,55,38.61014178462773,2,1,0
50,39,100.26433097957104,6,0,1
25,15,65.81868867378927,8,1,0
61,4,68.29688720853552,3,2,0
61,25,33.34799724159438,9,2,1
22,13,28.060151375712465,2,1,0
56,33,92.79393069737652,4,0,1
21,16,69.64611523552998,0,0,0
23,42,63.68507026151796,2,2,0
62,66,92.95082286523967,7,1,0
49,55,96.55128989911097,7,1,1
69,42,35.89081676693536,3,0,0
47,34,81.02251494776414,1,0,0
64,30,33.535408227768556,7,0,1
52,13,95.13750860290457,7,1,0
57,13,85.69551562671396,9,0,1
69,18,115.6614621083458,3,0,0
33,32,26.89580163564212,2,2,0
30,39,25.70547211512543,1,0,0
67,46,48.218707469320016,8,0,0
59,29,46.1705683735906,0,1,0
47,62,44.69787990719998,6,1,1
36,62,110.62545805210367,4,2,0
34,57,44.95461998495061,7,0,1
36,16,47.1949726128631,3,2,0
45,56,95.93982624179637,6,1,1
43,10,64.973984245054,4,2,0
54,30,97.67105569551812,4,1,1
43,25,26.536615756438522,8,2,1
40,5,68.75711936733843,8,2,0
26,65,23.361360018328263,8,0,0
29,49,26.26532034553545,5,2,0
18,3,110.64374533444109,5,0,1
18,45,33.92453711175952,4,0,0
64,14,73.24206822752171,8,0,0
51,30,61.10956026007065,9,0,0
49,68,54.73433262588427,7,2,0
65,18,109.98333456872724,6,1,1
42,62,22.18233967754895,6,1,0
57,37,86.37896861755891,5,1,0
62,25,116.33944342135504,4,2,0
18,48,76.0168183461842,3,0,0
33,65,113.68224620330918,2,1,0
56,53,25.225787928602376,2,2,0
22,15,61.87933190741614,5,0,0
39,49,46.015779096205115,3,1,0
46,68,93.08209649807299,5,0,1
20,12,118.12970904972467,2,1,1
29,59,45.65300624442478,3,1,0
43,37,85.41746014740745,8,1,1
33,61,39.809763275974014,4,0,0
68,43,76.53302545716099,6,2,0
54,70,66.39324866883362,9,0,1
39,39,117.2005329631537,1,1,1
46,56,80.85272726964666,4,0,1
31,63,54.950637208681876,8,2,0
45,46,31.409578488793336,2,0,0
22,11,35.124682873493455,8,2,1
64,62,42.53169299512351,5,2,0
66,25,45.0966661340298,3,0,0
47,71,105.06160578411378,6,1,1
63,52,76.12227882825249,7,2,0
69,4,72.33909113743664,5,0,1
22,59,31.476887186921747,4,2,0
29,20,106.0139693349435,5,1,1
33,63,92.28143032084837,4,0,0
43,54,26.76683619000016,7,0,1
43,57,90.78350972297687,0,0,1
65,41,74.35382173426461,6,1,1
38,3,28.172534574677826,9,2,1
56,6,65.83006415286565,9,0,1
53,5,68.4696287130047,1,2,0
50,5,36.57745401632758,8,2,1
47,54,114.56981470002823,0,1,0
54,47,104.99753714806619,9,0,1
40,49,86.90223373291083,5,2,1
27,9,66.22955610006072,8,0,1
22,20,61.17655415845085,0,0,0
53,61,85.09734671509541,3,1,0
51,35,74.54318694069055,3,0,0
69,50,26.227310588188562,8,0,1
48,62,71.25026487703317,4,2,0
27,17,100.64036172328395,4,1,0
36,3,65.9239877596958,5,0,1
49,32,25.195657755426843,0,2,0
18,13,98.6278199384033,0,1,1
22,68,40.13637821359744,8,1,1
62,14,45.862083488803876,2,2,0
21,11,36.47063534322959,3,2,0
33,56,53.02150648714976,0,2,0
41,67,95.6751505688635,8,2,1
33,29,71.93858595039373,7,2,0
19,9,40.488127415071254,1,0,1
66,67,107.78300781520409,7,0,1
45,25,107.95818549515292,6,1,1
49,42,107.05784250460069,5,0,1
44,9,43.87962113815393,0,0,1
37,40,65.12393441809881,6,0,1
41,25,118.49896561408751,9,2,1
29,5,97.20124763099903,6,1,1
67,11,22.71674212255598,8,1,1
52,59,26.520459126049204,0,1,0
50,38,66.39313768123327,1,1,0
50,5,110.92202058615601,8,0,1
68,48,73.87017979527143,8,0,1
60,18,69.78125080342903,5,2,0
54,70,30.547369995663058,5,1,0
29,37,85.6780104724294,3,0,1
20,60,102.21031606002255,3,0,0
18,48,58.04200075075623,4,2,0
50,28,97.56118509253275,2,2,0
57,69,116.44766539008116,0,2,0
27,40,40.37664591276891,0,0,1
60,45,72.33296311947413,6,0,0
61,62,48.713795808457554,0,2,0
46,58,99.28544190338394,0,1,0
30,67,77.75933658811576,2,2,0
29,56,83.45824175503037,9,2,0
48,40,99.79141596158941,3,2,1
63,40,59.59704726624549,3,2,0
19,33,111.50900684070432,1,0,1
68,6,73.302886724614,0,1,0
67,19,35.7954822835348,2,2,0
52,40,89.58991181688025,3,1,0
40,59,99.32613504382545,2,1,1
34,59,51.676167706752665,7,1,0
43,48,105.7179256998753,9,2,1
25,41,110.61432547657664,0,0,1
46,13,47.6904487377809,1,2,0
43,45,118.3521472715222,6,1,1
27,53,34.071152804875844,3,1,0
43,42,40.201566840249,7,0,1
51,63,38.422483923802616,2,2,0
68,27,109.39897100078704,5,1,1
58,38,85.42925523249619,8,0,1
24,60,35.21042832222729,0,1,0
21,7,64.03234183683489,0,0,1
67,5,81.5298025069802,7,0,1
62,45,28.34640849893833,2,2,0
28,58,108.24163684073388,4,1,1
46,31,100.36035354415351,0,2,0
53,23,70.52067735766383,4,1,0
42,42,116.71266152591704,5,2,0
38,10,61.77609792750997,7,1,1
53,32,118.41103190364979,2,2,1
27,53,86.79199988036271,2,0,1
54,30,83.46712732539415,9,1,0
26,39,36.5954895295785,8,1,0
41,31,108.1927758304644,3,0,1
52,2,62.74896879206152,3,2,0
66,12,36.223340578247935,6,1,0
52,39,21.260751997575905,1,1,0
65,66,75.97556836383825,7,2,0
53,13,72.73996221226764,5,0,0
35,46,91.93536223691585,2,2,0
66,27,109.02580530178021,8,2,1
56,17,27.940658464302953,4,2,0
49,60,93.14964903403623,7,1,1
41,64,38.74119440975822,6,0,1
40,35,105.8177053157164,7,0,1
49,70,101.90635138616561,6,2,0
54,30,74.07937549855444,2,1,0
29,71,91.02427986233116,1,2,0
66,63,51.43501131837484,6,1,0
30,28,67.11678989328146,2,1,0
40,60,102.16368977104716,2,1,1
42,37,65.92651971732138,1,1,0
52,22,55.77982653254418,3,0,1
58,68,69.42124472503,7,1,0
47,20,102.82492524372184,0,1,0
34,68,53.520804737087275,0,2,0
66,64,37.37615931357438,4,2,0
37,17,91.20140203307808,4,0,1
65,12,102.59782127080818,0,2,0
42,22,30.063747852353334,5,1,0
39,17,43.98741127559447,0,2,0
30,10,34.197198976099386,4,0,0
36,65,54.79414115821666,8,2,0
66,22,65.03509789054127,4,2,0
53,50,94.88263369633064,5,0,1
29,14,85.11475848816741,7,0,1
58,64,82.09285674784311,0,1,0
36,47,55.23749466096544,1,2,0
29,29,104.144755308476,8,1,0
26,36,67.12871673981645,2,2,0
24,52,117.91049380151546,5,2,1
45,7,83.41421382957368,4,1,1
31,29,32.62647415645027,1,2,0
48,11,87.6177562075434,6,2,1
69,33,52.5104015431699,3,2,0
36,6,88.63271966860974,0,0,1
64,32,26.964114816240574,3,1,0
33,51,37.48814371759594,5,0,0
22,58,105.57372589057863,6,1,1
52,26,42.71795570235149,6,1,1
29,46,103.704112524294,6,2,1
42,29,47.92760884544104,2,1,0
69,4,84.28819100587077,5,0,1
38,13,89.4150573509831,7,0,1
53,39,71.2654753145053,3,0,1
40,15,50.53106766967313,7,1,0
33,29,41.26443763710961,1,0,1
56,29,23.31893545624262,9,1,0
62,32,50.39464012407238,8,0,1
59,2,85.3162790531283,8,0,1
56,47,113.83048184484826,7,1,1
31,22,107.1204482263052,9,0,1
48,27,96.60647765353026,9,2,0
22,67,98.84473432532987,0,1,0
52,56,86.49849034759953,1,1,0
40,21,46.0286857566003,5,1,0
46,47,110.71950307058299,9,2,1
60,59,87.0732311905834,4,1,0
28,6,76.04406309804399,8,0,1
35,19,31.09894692134811,4,0,0
64,57,64.70555438064254,1,0,0
29,69,66.03582712019264,9,1,0
26,3,106.45636095226699,3,0,1
27,1,74.66482201877885,8,1,1
61,58,58.04005489704097,0,0,0
34,38,117.68003285106593,0,2,0
55,15,31.072059332631568,6,2,0
24,34,62.25484283119446,2,2,0
63,61,24.20246751714053,9,2,0
30,35,93.99041207669303,1,1,0
57,64,111.80765521991506,8,0,1
59,25,48.003732955048946,2,2,0
26,24,105.83416767991208,1,1,0
67,12,49.221823046189776,7,2,0
44,18,111.07701616439152,9,2,1
19,15,95.3961903596784,5,1,0
22,27,100.49067768414386,5,1,1
46,60,21.80065556004545,9,0,1
54,46,116.2810357074026,6,0,1
55,17,92.66709920703232,6,2,1
36,53,50.47510953861333,5,2,0
25,8,102.9394664858847,3,0,0
65,27,48.152119841493,8,0,1
62,46,107.2753839566128,5,1,1
18,50,31.2580390411937,3,0,0
39,71,90.36859774607957,2,0,1
69,3,74.06984766449104,3,2,1
34,64,29.653447019544082,2,0,0
24,44,44.1893828258839,1,2,0
42,53,21.240403627731478,4,0,0
62,24,66.87679654645058,1,1,0
21,60,50.12652607600003,5,0,1
53,3,79.83574842977589,2,0,1
23,20,49.72378077086172,5,0,0
48,46,49.99191115069847,9,2,0
36,15,94.31931987316034,8,1,1
61,25,24.814283597835345,0,0,0
56,71,110.28949951919873,5,2,1
44,17,105.22638743911814,8,1,1
27,9,86.78046832264066,3,2,0
43,38,79.32215701073844,1,2,0
36,48,109.23024981396523,3,1,0
56,60,38.53301795287145,0,0,0
20,63,27.89691621908286,2,2,1
62,2,43.95101699095381,9,2,0
30,11,99.45782787001903,8,0,1
67,64,23.46702667264833,9,0,1
45,21,78.28068350834897,4,1,0
37,18,119.54375161913099,5,1,1
45,64,105.56960938375394,2,1,0
25,38,72.14456890435895,4,0,1
58,32,26.364090928664233,7,2,0
56,11,103.13735143857099,5,2,1
18,45,79.89785081772106,3,1,0
20,33,31.493299705956684,1,0,0
30,41,29.385728482335622,8,2,0
45,8,110.96268194365923,0,1,1
66,11,86.92002629380784,0,2,1
42,51,102.92867993167555,3,2,0
50,41,107.89789002822673,6,0,1
55,17,77.17723520483221,0,0,0
23,46,71.74463517550413,8,2,1
61,32,63.042741032099016,3,1,0
62,54,51.69465877911193,2,0,1
49,20,63.459596085871176,0,2,0
62,33,97.38796557301563,9,0,1
64,40,80.19234310151316,3,0,0
38,32,109.2523289954846,8,0,1
33,2,64.33800143791876,9,2,1
38,33,80.7089578718754,5,1,1
28,30,83.13075530919888,5,1,0
54,33,79.16971623063256,0,1,0
53,26,90.26337730855164,9,0,1
52,22,43.74334683748063,1,2,0
36,66,71.23637775457907,5,0,1
37,38,30.42248028083477,1,1,0
35,46,58.45113276448126,2,1,0
64,15,68.76670686212644,3,2,0
58,44,85.22242595454725,4,0,0
66,49,115.05310525862035,8,1,0
31,61,80.06510665483559,3,2,0
32,67,94.35939161765597,8,0,1
48,6,70.62660594952027,9,0,1
18,9,83.41040313763312,2,1,1
20,6,27.093221613377345,7,1,1
33,32,45.4391580841847,0,0,0
40,41,56.185309320513866,8,0,1
28,8,67.24933550065136,8,1,0
29,50,24.564874550238372,9,0,1
27,62,34.00240975533177,1,1,0
49,62,47.68143077913058,3,0,0
33,7,117.15326909010507,7,1,1
25,4,53.134700710305076,6,2,1
55,6,68.20410581120825,0,1,0
29,58,39.60977127383929,4,1,0
41,22,81.07800710757682,6,2,1
45,26,48.068321551597435,3,0,0
25,3,40.69925784384267,0,2,0
45,41,71.65726284459791,8,1,1
53,60,20.550579916042082,4,0,0
43,14,20.766403264922534,1,2,0
25,12,41.90688091018578,7,0,0
