age,gender,city,monthly_charges,tenure_months,contract_type,support_calls,signup_date,total_charges,churn
21,Male,Karachi,100.55,28,One Year,8,2018-05-12 14:29:11.351351,2894.5688940764767,1
46,Male,Peshawar,104.53,16,Two Year,9,2018-05-14 10:21:15.675675,1600.0768285678437,1
35,Male,Islamabad,39.76,47,Two Year,9,2018-05-16 06:13:19.999999,1849.3972384622036,0
43,Male,Lahore,27.98,58,Two Year,8,2018-05-18 02:05:24.324324,1668.168288034185,0
61,Female,Peshawar,121.5,27,Month-to-Month,6,2018-05-19 21:57:28.648648,3216.3427495776873,1
51,Male,Peshawar,79.77,53,One Year,1,2018-05-21 17:49:32.972972,4293.674140388879,0
27,Female,Peshawar,27.56,42,Month-to-Month,5,2018-05-23 13:41:37.297297,1202.1324857876812,0
53,Female,Karachi,149.33,59,Month-to-Month,3,2018-05-25 09:33:41.621621,8824.059784256619,1
31,Male,Islamabad,27.51,47,Month-to-Month,0,2018-05-27 05:25:45.945945,1267.8121547862866,0
48,Female,Peshawar,110.35,34,Month-to-Month,0,2018-05-29 01:17:50.270270,3681.321692240802,0
65,Female,Lahore,147.88,37,Month-to-Month,4,2018-05-30 21:09:54.594594,5506.912294706703,1
32,Female,Islamabad,51.09,6,One Year,1,2018-06-01 17:01:58.918918,443.9722467241944,0
25,Female,Lahore,38.49,7,Two Year,3,2018-06-03 12:54:03.243243,276.72462679584294,0
31,Male,Islamabad,35.78,25,Month-to-Month,0,2018-06-05 08:46:07.567567,803.1977294634049,0
40,Female,Lahore,59.43,33,Month-to-Month,3,2018-06-07 04:38:11.891891,1984.0658245063373,0
57,Male,Karachi,33.14,55,One Year,5,2018-06-09 00:30:16.216216,1865.7131485700597,0
38,Female,Peshawar,109.98,58,One Year,9,2018-06-10 20:22:20.540540,6332.947378405203,0
33,Female,Lahore,28.1,7,Two Year,3,2018-06-12 16:14:24.864864,164.42440369553023,0
62,Male,Islamabad,86.22,57,One Year,0,2018-06-14 12:06:29.189189,4877.171088562685,0
35,Female,Peshawar,149.57,12,Two Year,6,2018-06-16 07:58:33.513513,1768.2718066568154,0
64,Female,Peshawar,125.82,16,Month-to-Month,1,2018-06-18 03:50:37.837837,2004.5118442860976,0
41,Female,Islamabad,99.98,43,Month-to-Month,8,2018-06-19 23:42:42.162162,4256.094944575325,0
43,Male,Lahore,59.81,7,Two Year,2,2018-06-21 19:34:46.486486,356.8781129323888,0
42,Female,Karachi,101.11,51,One Year,7,2018-06-23 15:26:50.810810,5165.32876928375,0
62,Male,Karachi,,32,Two Year,7,2018-06-25 11:18:55.135135,2823.506898006815,0
58,Female,Lahore,75.39,8,One Year,2,2018-06-27 07:10:59.459459,581.3079114941592,0
46,Male,Peshawar,36.99,45,Month-to-Month,3,2018-06-29 03:03:03.783783,1668.7094858360758,0
32,Male,Peshawar,135.26,59,One Year,1,2018-06-30 22:55:08.108108,7904.331214722077,0
62,Female,Peshawar,78.47,4,Two Year,3,2018-07-02 18:47:12.432432,327.040146149838,0
18,Female,Peshawar,45.3,67,Two Year,8,2018-07-04 14:39:16.756756,3014.315589985522,0
42,Male,Lahore,67.81,29,Month-to-Month,1,2018-07-06 10:31:21.081081,1978.464473405639,0
24,Male,Peshawar,73.84,29,One Year,2,2018-07-08 06:23:25.405405,2161.3424552709484,0
26,Female,Islamabad,127.58,28,One Year,3,2018-07-10 02:15:29.729729,3628.7975639143087,0
41,Male,Peshawar,115.37,44,One Year,4,2018-07-11 22:07:34.054054,5081.427720849446,0
18,Female,Karachi,120.01,4,Month-to-Month,0,2018-07-13 17:59:38.378378,533.3759415027164,1
61,Female,Peshawar,21.43,9,One Year,6,2018-07-15 13:51:42.702702,,0
25,Female,Lahore,74.1,5,Two Year,9,2018-07-17 09:43:47.027027,356.79112433177886,0
41,Female,Karachi,82.57,56,One Year,6,2018-07-19 05:35:51.351351,4619.373591358816,0
28,Male,Lahore,22.49,50,Month-to-Month,8,2018-07-21 01:27:55.675675,1163.2062450339106,0
68,Female,Lahore,53.78,15,One Year,3,2018-07-22 21:19:59.999999,838.2479538511457,0
34,Male,Karachi,118.84,32,One Year,5,2018-07-24 17:12:04.324324,3809.63359399309,0
25,Female,Lahore,37.82,28,Two Year,1,2018-07-26 13:04:08.648648,997.573232919774,0
52,Male,Lahore,89.59,22,One Year,3,2018-07-28 08:56:12.972972,2001.6329587883163,0
52,Female,Peshawar,47.98,17,Two Year,1,2018-07-30 04:48:17.297297,772.5897682608514,0
50,Male,Islamabad,21.58,59,Two Year,9,2018-08-01 00:40:21.621621,1227.4251303100139,0
22,Male,Lahore,51.36,71,Month-to-Month,4,2018-08-02 20:32:25.945945,3589.6357455031157,0
59,Female,Lahore,146.86,57,Two Year,6,2018-08-04 16:24:30.270270,8366.8615644599,0
56,Female,Lahore,124.2,26,Two Year,0,2018-08-06 12:16:34.594594,3289.7862149235348,0
58,Female,Peshawar,144.74,25,Month-to-Month,9,2018-08-08 08:08:38.918918,3570.2319727809895,1
45,Female,Islamabad,83.42,10,Two Year,9,2018-08-10 04:00:43.243243,918.1287976587045,1
24,Male,Karachi,34.27,45,Month-to-Month,6,2018-08-11 23:52:47.567567,1587.6405111226786,0
26,Female,Peshawar,91.23,11,One Year,9,2018-08-13 19:44:51.891891,930.2998968374689,1
25,Male,Peshawar,79.07,53,Month-to-Month,5,2018-08-15 15:36:56.216216,4171.571240891084,0
29,Male,Islamabad,129.77,68,Two Year,5,2018-08-17 11:29:00.540540,8772.34748665046,0
51,Female,Islamabad,32.75,28,Month-to-Month,7,2018-08-19 07:21:04.864864,950.2477728867858,1
50,Male,Peshawar,83.47,65,Two Year,7,2018-08-21 03:13:09.189189,5376.141832616479,0
65,Male,Karachi,39.51,49,One Year,5,2018-08-22 23:05:13.513513,1854.934026147191,0
40,Male,Peshawar,62.21,47,Month-to-Month,2,2018-08-24 18:57:17.837837,2907.5837111631454,0
41,Male,Islamabad,115.86,52,One Year,4,2018-08-26 14:49:22.162162,6083.189703684813,0
54,Female,Karachi,81.88,54,Two Year,1,2018-08-28 10:41:26.486486,4411.894188807872,0
52,Female,Islamabad,68.87,60,Two Year,4,2018-08-30 06:33:30.810810,4152.122193167835,0
61,Female,Karachi,71.28,57,One Year,8,2018-09-01 02:25:35.135135,4084.821554877352,0
57,Female,Lahore,79.73,47,Month-to-Month,9,2018-09-02 22:17:39.459459,3671.696220362947,1
39,Male,Islamabad,122.05,31,Month-to-Month,0,2018-09-04 18:09:43.783783,3738.581293642267,0
44,Male,Islamabad,135.97,46,Two Year,9,2018-09-06 14:01:48.108108,6254.94320935988,0
52,Female,Peshawar,144.19,26,One Year,4,2018-09-08 09:53:52.432432,3721.0722508172307,0
18,Female,Islamabad,122.3,5,One Year,5,2018-09-10 05:45:56.756756,696.7227275197079,1
52,Female,Islamabad,61.0,52,Month-to-Month,6,2018-09-12 01:38:01.081081,3110.5838802459557,1
54,Male,Lahore,109.46,54,Month-to-Month,8,2018-09-13 21:30:05.405405,5865.376994838357,0
64,Female,Islamabad,76.89,33,Month-to-Month,5,2018-09-15 17:22:09.729729,2551.8972129739873,0
31,Female,Lahore,53.11,50,One Year,4,2018-09-17 13:14:14.054054,2624.1053331108355,0
20,Female,Lahore,129.31,38,Month-to-Month,6,2018-09-19 09:06:18.378378,4769.1883700524895,0
18,Male,Lahore,25.0,27,Month-to-Month,0,2018-09-21 04:58:22.702702,771.7340614706909,0
22,Male,Lahore,137.23,15,Two Year,4,2018-09-23 00:50:27.027027,2004.7347306886754,1
43,Male,Karachi,79.99,61,Month-to-Month,1,2018-09-24 20:42:31.351351,4907.4346361340895,0
31,Male,Peshawar,102.84,21,Month-to-Month,3,2018-09-26 16:34:35.675675,2096.970441438792,1
56,Male,Karachi,105.72,46,One Year,6,2018-09-28 12:26:39.999999,4819.968254645851,0
44,Male,Islamabad,136.37,69,One Year,4,2018-09-30 08:18:44.324324,9328.383349865939,0
26,Male,Karachi,,6,Two Year,5,2018-10-02 04:10:48.648648,579.560329986846,1
32,Male,Karachi,99.81,38,Month-to-Month,1,2018-10-04 00:02:52.972972,3760.565909127573,0
32,Female,Islamabad,28.66,62,Two Year,2,2018-10-05 19:54:57.297297,1770.2917161327553,0
43,Female,Islamabad,87.39,62,One Year,6,2018-10-07 15:47:01.621621,5399.551557881178,0
59,Male,Islamabad,39.52,46,Two Year,1,2018-10-09 11:39:05.945945,1745.8440086518087,0
30,Male,Karachi,115.87,13,One Year,5,2018-10-11 07:31:10.270270,1480.1150085828035,0
68,Female,Karachi,86.59,3,Two Year,4,2018-10-13 03:23:14.594594,332.1205333387403,0
49,Male,Islamabad,108.43,6,Two Year,9,2018-10-14 23:15:18.918918,716.9995272705906,1
56,Male,Peshawar,25.42,8,Month-to-Month,0,2018-10-16 19:07:23.243243,226.14435144573451,1
66,Male,Peshawar,31.02,44,Two Year,9,2018-10-18 14:59:27.567567,1398.0349623370084,0
69,Female,Lahore,,33,Month-to-Month,3,2018-10-20 10:51:31.891891,3836.0011400567673,0
49,Female,Islamabad,29.37,50,Month-to-Month,1,2018-10-22 06:43:36.216216,1497.062382979425,0
21,Female,Lahore,29.26,11,Month-to-Month,3,2018-10-24 02:35:40.540540,354.0694930268776,1
47,Female,Peshawar,21.57,28,Month-to-Month,0,2018-10-25 22:27:44.864864,525.730848694323,0
54,Female,Lahore,144.35,70,Two Year,1,2018-10-27 18:19:49.189189,10048.868471938093,0
40,Male,Islamabad,115.88,41,One Year,7,2018-10-29 14:11:53.513513,4749.44548414994,0
56,Female,Islamabad,65.92,16,One Year,5,2018-10-31 10:03:57.837837,1014.3478887462877,0
62,Male,Islamabad,58.55,68,One Year,1,2018-11-02 05:56:02.162162,3931.502235648841,0
32,Male,Karachi,65.46,48,Two Year,5,2018-11-04 01:48:06.486486,3097.9570475883875,0
60,Female,Lahore,120.7,56,Month-to-Month,9,2018-11-05 21:40:10.810810,6688.021467890943,1
46,Female,Peshawar,105.98,64,One Year,8,2018-11-07 17:32:15.135135,6743.150775695898,0
53,Male,Peshawar,44.08,59,Two Year,6,2018-11-09 13:24:19.459459,2617.6917777405447,0
30,Male,Peshawar,42.63,62,Month-to-Month,8,2018-11-11 09:16:23.783783,2732.876196324234,1
49,Male,Karachi,32.79,11,One Year,4,2018-11-13 05:08:28.108108,400.539109135681,0
24,Female,Karachi,105.84,18,Month-to-Month,6,2018-11-15 01:00:32.432432,1936.9277742519719,1
68,Female,Islamabad,119.37,19,One Year,6,2018-11-16 20:52:36.756756,2186.85333078008,1
39,Female,Peshawar,54.46,55,One Year,2,2018-11-18 16:44:41.081081,3001.264835251101,0
45,Female,Karachi,22.72,26,One Year,6,2018-11-20 12:36:45.405405,587.372004835143,0
19,Female,Islamabad,30.68,6,Month-to-Month,0,2018-11-22 08:28:49.729729,198.61705484755893,0
59,Male,Peshawar,145.82,4,Two Year,8,2018-11-24 04:20:54.054054,565.245626526127,1
62,Female,Lahore,58.41,29,Month-to-Month,9,2018-11-26 00:12:58.378378,1776.9938370507332,1
23,Male,Islamabad,120.0,59,One Year,5,2018-11-27 20:05:02.702702,7082.638775814891,0
45,Male,Karachi,101.21,17,Month-to-Month,4,2018-11-29 15:57:07.027027,1728.0811677468434,1
45,Male,Karachi,69.65,43,Two Year,6,2018-12-01 11:49:11.351351,2896.8279887576577,0
61,Female,Islamabad,46.74,66,Month-to-Month,4,2018-12-03 07:41:15.675675,3079.506215902784,0
61,Female,Islamabad,35.78,34,Two Year,9,2018-12-05 03:33:19.999999,1273.9829675015317,0
37,Female,Karachi,99.95,8,Two Year,4,2018-12-06 23:25:24.324324,,1
47,Male,Lahore,120.7,13,Month-to-Month,9,2018-12-08 19:17:28.648648,1461.3204530128446,1
28,Male,Peshawar,103.71,8,One Year,6,2018-12-10 15:09:32.972972,807.1962463426887,0
45,Male,Lahore,88.94,65,Two Year,9,2018-12-12 11:01:37.297297,5867.6949733681495,1
42,Male,Islamabad,25.45,43,Month-to-Month,6,2018-12-14 06:53:41.621621,1086.8179639859236,0
56,Male,Lahore,145.9,39,Two Year,2,2018-12-16 02:45:45.945945,5706.220799135557,0
50,Male,Karachi,123.83,59,One Year,2,2018-12-17 22:37:50.270270,7386.920464364365,0
18,Female,Islamabad,58.07,44,Month-to-Month,9,2018-12-19 18:29:54.594594,2547.3492929226545,1
44,Female,Peshawar,147.4,9,Month-to-Month,2,2018-12-21 14:21:58.918918,1366.1514929978953,1
69,Female,Karachi,98.24,37,Month-to-Month,5,2018-12-23 10:14:03.243243,3655.449793857918,0
30,Female,Karachi,95.71,36,One Year,5,2018-12-25 06:06:07.567567,3476.8174431755197,0
58,Male,Peshawar,117.25,28,Two Year,2,2018-12-27 01:58:11.891891,3301.9607828416733,0
20,Male,Peshawar,125.53,42,Month-to-Month,2,2018-12-28 21:50:16.216216,5244.878506074261,0
56,Female,Lahore,105.34,43,Two Year,7,2018-12-30 17:42:20.540540,4507.230122428867,0
23,Male,Islamabad,36.65,42,Two Year,7,2019-01-01 13:34:24.864864,1496.5711909815836,0
25,Female,Peshawar,63.97,66,One Year,6,2019-01-03 09:26:29.189189,4140.034544056485,0
44,Female,Peshawar,140.65,55,Month-to-Month,9,2019-01-05 05:18:33.513513,7797.976495533832,1
26,Female,Islamabad,49.2,48,Two Year,3,2019-01-07 01:10:37.837837,2362.104148344061,0
54,Male,Peshawar,68.38,22,Month-to-Month,3,2019-01-08 21:02:42.162162,1564.0680091262227,1
50,Female,Peshawar,,27,Month-to-Month,2,2019-01-10 16:54:46.486486,,1
68,Female,Lahore,77.12,67,One Year,4,2019-01-12 12:46:50.810810,5169.710874045477,0
59,Female,Karachi,99.68,13,Month-to-Month,2,2019-01-14 08:38:55.135135,1230.1655434154688,1
61,Male,Karachi,,45,Month-to-Month,7,2019-01-16 04:30:59.459459,6407.190592707377,1
41,Male,Karachi,51.29,10,Two Year,6,2019-01-18 00:23:03.783783,479.3428196618439,0
32,Female,Karachi,35.8,9,One Year,2,2019-01-19 20:15:08.108108,223.19247704725063,0
49,Male,Peshawar,45.67,54,Month-to-Month,8,2019-01-21 16:07:12.432432,2441.0935547535564,1
49,Male,Islamabad,135.3,27,Two Year,4,2019-01-23 11:59:16.756756,3649.5231393967747,0
41,Male,Islamabad,103.96,34,One Year,8,2019-01-25 07:51:21.081081,3502.473780211767,1
58,Male,Lahore,57.17,1,One Year,6,2019-01-27 03:43:25.405405,18.59274565242565,0
69,Male,Lahore,126.07,32,Two Year,6,2019-01-28 23:35:29.729729,3970.363208893352,0
66,Male,Peshawar,131.98,71,Two Year,5,2019-01-30 19:27:34.054054,9380.376107417715,0
66,Male,Islamabad,130.05,67,Two Year,1,2019-02-01 15:19:38.378378,8806.813464160812,0
69,Male,Islamabad,139.46,20,Two Year,8,2019-02-03 11:11:42.702702,2853.131194402558,1
29,Male,Karachi,52.79,35,Two Year,5,2019-02-05 07:03:47.027027,,0
56,Male,Peshawar,118.16,17,Month-to-Month,7,2019-02-07 02:55:51.351351,2042.4904559465522,1
19,Female,Peshawar,79.87,18,Month-to-Month,0,2019-02-08 22:47:55.675675,1431.027842787044,1
20,Female,Karachi,129.46,45,One Year,4,2019-02-10 18:39:59.999999,5735.474341035649,0
66,Male,Peshawar,114.7,53,Month-to-Month,0,2019-02-12 14:32:04.324324,6060.628415526965,0
54,Female,Peshawar,120.94,68,Month-to-Month,9,2019-02-14 10:24:08.648648,8175.456115633393,1
66,Female,Lahore,105.3,65,Month-to-Month,7,2019-02-16 06:16:12.972972,6852.2348374672665,0
34,Male,Islamabad,43.07,1,Two Year,7,2019-02-18 02:08:17.297297,104.73073519693773,0
66,Male,Peshawar,90.85,58,One Year,0,2019-02-19 22:00:21.621621,5367.970479512423,0
19,Male,Lahore,148.01,26,One Year,8,2019-02-21 17:52:25.945945,3851.4910515590263,1
19,Female,Islamabad,141.86,20,One Year,1,2019-02-23 13:44:30.270270,2753.8421831411324,0
45,Female,Karachi,25.61,10,One Year,8,2019-02-25 09:36:34.594594,259.23380250809896,0
40,Male,Lahore,41.43,59,Month-to-Month,0,2019-02-27 05:28:38.918918,2448.862808145669,0
54,Male,Lahore,37.12,41,Month-to-Month,9,2019-03-01 01:20:43.243243,1555.8621935263097,1
49,Male,Islamabad,114.38,5,Two Year,8,2019-03-02 21:12:47.567567,570.9402224799585,0
50,Female,Karachi,126.31,65,One Year,3,2019-03-04 17:04:51.891891,8213.475913698034,0
18,Female,Lahore,47.76,17,Month-to-Month,8,2019-03-06 12:56:56.216216,780.316962105647,1
36,Female,Peshawar,85.76,22,Month-to-Month,6,2019-03-08 08:49:00.540540,1871.1249008445561,1
19,Female,Peshawar,129.29,41,Two Year,5,2019-03-10 04:41:04.864864,5326.551621340758,0
61,Male,Peshawar,115.26,68,Two Year,4,2019-03-12 00:33:09.189189,7737.255814192826,0
43,Male,Karachi,90.49,69,Two Year,8,2019-03-13 20:25:13.513513,6227.945571716808,0
49,Male,Lahore,96.75,11,Month-to-Month,1,2019-03-15 16:17:17.837837,1098.6449983997954,0
23,Male,Peshawar,86.09,56,Month-to-Month,1,2019-03-17 12:09:22.162162,,0
49,Female,Karachi,58.68,51,Two Year,8,2019-03-19 08:01:26.486486,2972.763177793488,0
21,Female,Peshawar,93.45,21,One Year,2,2019-03-21 03:53:30.810810,2021.7184890411895,0
28,Male,Islamabad,109.56,26,Two Year,7,2019-03-22 23:45:35.135135,2933.061192270897,0
34,Male,Lahore,133.53,19,Two Year,8,2019-03-24 19:37:39.459459,2517.800879946866,1
55,Female,Lahore,102.72,60,Two Year,7,2019-03-26 15:29:43.783783,6135.289573358409,0
41,Male,Karachi,118.95,71,Two Year,3,2019-03-28 11:21:48.108108,8436.346276495404,0
22,Female,Karachi,40.81,47,Month-to-Month,0,2019-03-30 07:13:52.432432,1913.9724107468453,0
69,Male,Lahore,80.0,71,One Year,3,2019-04-01 03:05:56.756756,5734.541133392776,0
51,Male,Peshawar,21.21,26,Two Year,8,2019-04-02 22:58:01.081081,512.7737410245203,0
23,Male,Peshawar,52.07,40,One Year,1,2019-04-04 18:50:05.405405,,0
39,Male,Islamabad,114.44,5,One Year,2,2019-04-06 14:42:09.729729,532.1621223636892,0
28,Male,Peshawar,148.94,21,One Year,9,2019-04-08 10:34:14.054054,3064.5187540191214,1
65,Male,Karachi,32.89,4,Two Year,7,2019-04-10 06:26:18.378378,157.74886057793395,0
33,Male,Karachi,72.19,23,Month-to-Month,5,2019-04-12 02:18:22.702702,1721.8980214434603,1
50,Female,Peshawar,124.01,15,Two Year,7,2019-04-13 22:10:27.027027,1869.0827740506456,1
26,Female,Karachi,46.52,8,One Year,6,2019-04-15 18:02:31.351351,393.9142198983137,0
23,Female,Lahore,92.16,41,One Year,4,2019-04-17 13:54:35.675675,3876.2748619012655,0
33,Female,Lahore,115.3,19,Month-to-Month,8,2019-04-19 09:46:40.000000,2252.9326390767646,1
46,Female,Peshawar,100.08,46,Two Year,3,2019-04-21 05:38:44.324324,4605.226270889125,0
20,Male,Lahore,44.44,28,One Year,5,2019-04-23 01:30:48.648648,1222.762655840903,0
37,Male,Lahore,,68,Month-to-Month,1,2019-04-24 21:22:52.972972,4556.352943324069,0
53,Female,Islamabad,121.89,15,One Year,1,2019-04-26 17:14:57.297297,1869.8141956712943,0
36,Male,Islamabad,92.05,37,Month-to-Month,1,2019-04-28 13:07:01.621621,3426.7788341330042,0
43,Female,Lahore,20.68,1,Month-to-Month,9,2019-04-30 08:59:05.945945,4.329315700325587,1
20,Female,Peshawar,118.93,67,Two Year,6,2019-05-02 04:51:10.270270,7964.490518186659,0
36,Male,Islamabad,24.59,24,One Year,1,2019-05-04 00:43:14.594594,582.7840217690972,0
37,Male,Karachi,116.95,27,Two Year,1,2019-05-05 20:35:18.918918,3142.131560820935,0
49,Male,Karachi,46.32,40,One Year,8,2019-05-07 16:27:23.243243,1822.7425931702007,0
24,Female,Karachi,144.55,63,Two Year,6,2019-05-09 12:19:27.567567,9119.909931797416,0
69,Male,Peshawar,67.83,61,One Year,2,2019-05-11 08:11:31.891891,4105.314235211533,0
58,Female,Lahore,62.5,36,Two Year,2,2019-05-13 04:03:36.216216,2258.868958545723,0
50,Female,Karachi,39.36,24,Month-to-Month,6,2019-05-14 23:55:40.540540,,0
57,Female,Peshawar,59.73,24,One Year,4,2019-05-16 19:47:44.864864,,1
56,Male,Islamabad,133.96,4,One Year,9,2019-05-18 15:39:49.189189,590.7564600347024,1
35,Male,Lahore,149.52,67,Month-to-Month,5,2019-05-20 11:31:53.513513,9972.818538726775,1
