PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Survived
61,2,male,38.7,1,0,51.77,S,0
62,2,female,16.5,0,1,103.57,C,0
63,3,female,23.7,1,0,71.49,S,1
64,2,female,35.9,0,0,63.58,C,1
65,2,female,15.3,3,0,66.6,S,1
66,3,male,38.6,0,0,42.81,C,1
67,1,male,27.1,0,0,39.04,C,0
68,3,female,25.5,0,1,81.32,C,0
69,1,male,38.5,0,0,63.33,S,1
70,3,female,35.3,0,0,34.66,S,1
71,3,male,25.7,0,0,13.53,S,0
72,1,female,43.9,1,0,47.77,C,0
73,1,male,17.0,0,1,48.51,S,0
74,3,female,37.4,0,0,69.98,S,1
75,3,male,37.1,1,0,33.73,S,0
76,3,female,26.3,1,0,24.36,S,0
77,3,male,33.9,0,2,122.91,,0
78,1,female,,0,1,33.52,S,1
79,2,female,41.1,0,0,36.47,C,1
80,1,male,,1,0,31.29,S,1
81,3,female,23.7,1,0,50.4,S,1
82,3,female,42.6,0,1,85.06,S,0
83,2,male,21.5,1,0,29.86,S,1
84,1,female,13.1,1,0,88.63,S,1
85,2,female,11.3,0,0,30.37,C,1
86,2,female,37.3,2,0,92.5,S,1
87,3,male,14.6,0,0,52.07,C,0
88,3,male,51.1,0,1,59.03,S,0
89,3,female,5.0,0,0,10.55,S,1
90,2,female,50.4,0,0,118.75,C,1
91,1,male,32.5,0,0,68.91,S,1
92,3,female,28.8,2,2,20.9,S,1
93,3,male,23.5,0,0,63.05,S,0
94,3,male,34.8,0,1,19.92,S,0
95,3,male,29.5,0,0,71.85,C,0
96,2,male,43.2,2,0,23.58,S,1
97,3,female,,0,0,46.49,C,1
98,2,male,31.8,0,0,43.34,Q,0
99,1,female,,0,0,33.05,S,1
100,1,female,29.3,0,1,38.31,Q,1
101,1,female,33.7,3,0,30.37,S,1
102,3,male,9.5,3,0,28.98,Q,0
103,2,male,13.8,0,0,30.75,S,1
104,3,female,38.9,3,2,37.37,C,0
105,3,female,,1,1,20.58,S,0
106,2,male,,2,0,30.7,S,1
107,2,female,30.2,0,2,60.78,C,1
108,3,female,34.2,0,0,11.48,C,1
109,2,female,23.5,0,0,89.96,S,0
110,1,female,20.7,1,1,87.37,S,1
111,2,female,,0,1,53.06,C,1
112,1,male,18.3,0,0,56.98,C,0
113,3,female,34.9,0,0,76.85,Q,1
114,3,female,9.6,1,0,16.15,C,0
115,3,male,,0,2,12.47,Q,0
116,3,male,35.7,1,0,18.21,C,0
117,3,male,33.1,3,0,57.48,,0
118,1,female,41.8,0,0,31.06,S,0
119,3,female,50.0,1,0,36.23,C,1
120,3,male,42.2,0,0,171.7,C,0
121,3,female,7.9,2,2,68.08,S,1
122,3,male,14.6,0,0,32.11,S,0
123,2,female,,1,0,21.97,Q,1
124,1,female,30.3,1,0,83.4,S,1
125,2,female,36.2,2,1,47.41,S,1
126,2,male,21.3,1,0,23.66,S,0
127,3,male,32.2,0,0,12.96,S,0
128,3,male,20.9,1,1,82.11,S,0
129,1,male,22.7,2,1,63.19,S,0
130,3,female,13.1,0,1,63.03,S,1
131,2,female,18.9,0,2,83.35,C,1
132,2,female,13.8,2,0,45.44,S,0
133,1,female,18.3,1,1,51.86,C,1
134,2,female,,1,0,36.89,Q,1
135,3,female,18.6,0,1,21.44,S,1
136,2,female,61.6,1,1,37.11,C,0
137,3,female,35.9,0,1,54.6,S,1
138,3,male,32.2,1,0,37.63,Q,0
139,2,male,19.7,0,0,86.91,S,0
140,3,male,38.4,1,0,27.58,C,0
141,3,female,,3,2,38.03,C,0
142,2,female,31.5,0,2,49.93,S,1
143,2,male,60.7,3,0,46.87,S,0
144,2,female,28.8,0,0,56.38,C,0
145,2,female,,2,0,28.13,C,1
146,1,male,21.6,1,1,51.55,S,1
147,3,male,29.6,0,1,13.3,C,0
148,3,female,51.2,1,0,24.56,,0
149,1,male,22.5,2,0,50.06,C,0
150,2,female,51.7,0,1,51.69,S,1
151,3,male,,0,1,100.19,Q,0
152,2,female,23.3,1,0,47.54,S,0
153,1,female,37.6,1,0,70.83,S,0
154,2,female,41.7,1,0,41.17,,1
155,3,female,37.5,1,0,40.16,S,1
156,2,male,11.2,0,0,22.21,S,0
157,3,male,21.3,1,0,18.81,S,0
158,3,male,27.0,0,1,23.48,C,1
159,2,female,29.1,0,0,39.19,S,1
160,3,female,37.4,0,1,11.4,S,1
161,2,female,32.1,0,0,24.53,S,1
162,3,male,14.0,0,0,19.72,S,0
163,3,male,34.6,0,0,116.77,S,0
164,3,male,37.3,1,0,22.07,S,0
165,1,male,36.7,0,1,49.74,S,1
166,3,female,43.0,0,2,16.55,,1
167,2,male,40.0,0,0,48.31,S,0
168,1,male,35.5,0,0,39.88,S,1
169,1,female,29.2,0,1,36.96,S,1
170,3,male,10.1,0,0,31.81,S,1
171,3,male,35.2,1,0,10.17,Q,0
172,1,female,32.5,1,1,30.23,S,1
173,3,male,33.3,1,0,17.42,C,1
174,2,female,14.7,0,0,21.12,S,1
175,3,female,17.0,0,0,13.43,C,1
176,1,female,42.6,2,1,42.41,C,1
177,3,male,29.5,0,0,58.67,S,0
178,2,female,38.2,0,0,45.46,Q,0
179,3,male,,0,1,31.56,S,1
180,1,male,30.4,0,0,40.42,S,0
181,2,male,41.3,0,1,100.54,C,0
182,1,female,23.8,0,0,45.18,C,1
183,3,male,31.2,0,2,12.73,S,0
184,3,male,24.5,0,0,38.8,S,0
185,2,female,24.8,1,0,23.63,S,1
186,3,male,26.3,1,0,22.7,S,0
187,3,male,32.7,1,0,31.24,C,0
188,3,male,24.3,1,1,72.2,S,0
189,3,male,45.1,3,2,30.41,S,0
190,2,male,19.3,0,0,56.35,S,0
191,1,male,27.8,0,0,178.08,S,0
192,3,female,24.7,0,1,14.23,S,0
193,3,male,47.4,1,1,19.64,C,0
194,3,male,32.4,2,0,25.05,Q,0
195,2,female,42.4,0,0,36.44,C,1
196,2,male,12.2,2,0,35.88,S,0
197,3,female,33.2,0,0,81.45,Q,1
198,3,male,40.7,2,0,47.56,C,0
199,3,male,31.0,0,0,38.09,C,0
200,3,male,42.8,0,0,21.1,S,0
201,3,male,23.8,0,1,62.08,S,0
202,1,male,46.9,0,0,123.07,S,1
203,1,male,57.6,0,0,81.64,S,1
204,3,male,25.6,0,0,10.05,S,0
205,3,male,24.7,1,0,40.35,S,1
206,1,male,47.4,0,0,31.57,S,1
207,1,male,49.0,0,0,38.94,C,1
208,3,male,23.7,1,0,11.84,S,1
209,1,male,25.0,1,0,57.77,S,1
210,1,female,26.6,0,0,64.81,Q,1
211,3,male,13.9,0,0,13.65,Q,0
212,3,female,19.0,0,1,24.53,C,0
213,3,female,18.0,0,0,28.28,Q,0
214,2,male,20.8,1,1,33.82,S,1
215,3,female,29.6,0,0,13.87,Q,1
216,2,female,,0,0,36.29,S,1
217,2,male,48.6,1,0,61.73,S,0
218,3,male,18.0,0,0,12.21,S,1
219,3,female,41.8,0,1,12.51,S,1
220,3,female,27.4,0,1,23.14,S,1
221,3,male,29.4,3,1,95.28,C,0
222,3,male,38.1,0,0,43.13,C,0
223,1,male,16.5,1,0,64.06,S,1
224,2,male,34.6,0,0,33.48,S,1
225,2,female,32.0,0,0,47.02,C,0
226,2,male,35.9,1,0,20.31,C,0
227,3,male,33.5,3,0,40.33,S,0
228,2,female,,1,0,93.35,C,1
229,3,male,22.3,1,0,38.45,S,0
230,3,male,23.6,2,1,72.07,S,0
231,3,female,22.5,0,2,48.62,Q,1
232,3,female,23.3,0,2,13.85,S,0
233,3,male,22.4,1,0,79.82,S,1
234,2,male,44.3,0,0,22.06,,0
235,1,male,47.0,1,0,52.9,C,1
236,3,male,23.2,2,1,14.6,S,0
237,2,male,20.0,0,0,20.35,S,0
238,1,male,35.7,0,0,46.45,S,0
239,3,male,23.4,1,1,20.49,C,0
240,1,male,37.6,0,0,49.97,S,1
241,3,male,32.4,1,0,35.83,S,0
242,3,male,11.8,0,0,11.34,Q,0
243,3,male,48.6,1,0,13.94,S,1
244,2,male,51.6,0,0,44.54,S,0
245,1,male,22.6,1,0,42.61,S,1
246,3,female,25.3,0,0,49.19,C,1
247,2,female,33.4,0,0,51.69,S,1
248,3,female,,0,1,66.05,S,1
249,3,female,37.9,1,0,45.38,C,1
250,3,male,54.1,2,0,26.86,S,0
251,2,male,,0,0,53.53,S,0
252,2,male,20.4,0,2,29.66,S,0
253,3,female,13.4,0,0,20.97,S,0
254,2,female,21.2,1,0,66.67,S,0
255,1,male,29.6,1,1,47.74,S,1
256,3,male,51.5,0,1,58.04,S,0
257,3,male,23.8,0,0,61.85,S,0
258,3,male,32.7,0,1,68.47,C,0
259,3,female,,0,0,84.54,Q,1
260,1,female,,0,0,46.92,C,1
261,3,male,60.3,3,0,21.52,Q,0
262,3,female,23.6,0,0,36.18,S,1
263,1,female,24.1,1,1,43.92,Q,1
264,3,male,42.5,0,0,37.57,S,0
265,3,male,38.2,0,0,46.68,Q,1
266,3,male,52.2,1,1,44.98,Q,1
267,3,male,37.0,1,1,24.08,C,0
268,3,male,25.7,3,0,15.48,Q,1
269,2,male,37.1,0,0,36.89,S,1
270,2,male,,0,0,24.62,S,0
271,3,male,39.8,1,1,76.24,S,0
272,3,female,36.1,0,0,22.73,S,1
273,3,male,42.8,0,2,15.03,S,1
274,3,male,44.0,0,0,10.77,C,1
275,3,male,46.6,0,0,41.14,Q,0
276,3,female,37.8,2,0,40.39,S,1
277,3,male,28.0,0,0,22.49,C,0
278,3,male,31.8,0,0,12.23,Q,0
279,3,female,44.5,0,2,25.81,Q,1
280,3,female,20.2,0,0,21.18,Q,0
281,3,female,34.4,0,0,43.91,S,0
282,2,male,,0,1,47.93,Q,1
283,2,male,30.3,0,0,33.6,C,1
284,1,female,45.3,1,1,37.37,S,1
285,3,female,32.3,0,0,142.78,S,1
286,1,female,30.6,0,0,48.15,C,1
287,2,female,13.7,2,0,54.97,S,1
288,3,male,39.0,1,0,14.54,C,0
289,2,female,37.7,0,2,39.94,C,1
290,3,male,56.0,0,0,10.84,S,0
291,1,male,26.3,0,0,51.12,S,0
292,1,male,32.6,1,0,129.74,C,0
293,3,male,33.0,3,0,24.55,S,0
294,2,male,48.9,1,1,21.19,S,0
295,1,male,28.9,0,0,30.94,S,1
296,3,female,,1,0,24.73,S,0
297,3,male,37.3,0,2,15.23,Q,0
298,2,female,32.2,0,0,20.71,S,1
299,3,male,24.6,0,2,52.34,C,0
300,1,male,32.3,3,0,48.4,S,0
301,1,male,,0,0,40.24,S,0
302,3,male,17.7,1,0,79.1,C,1
303,3,male,31.6,0,1,13.7,C,0
304,3,male,21.6,0,2,103.65,S,0
305,3,male,,0,0,21.3,S,0
306,3,female,11.7,0,0,75.79,S,1
307,3,male,23.3,1,0,37.71,S,0
308,2,female,34.5,0,0,72.58,C,1
309,3,male,48.8,1,0,134.08,S,0
310,2,female,,1,2,30.21,S,1
311,2,female,,2,0,117.43,S,1
312,1,female,52.6,0,0,44.8,Q,1
313,1,male,12.6,0,0,44.61,Q,0
314,3,male,3.6,0,0,22.48,S,1
315,3,male,35.3,3,0,33.39,C,0
316,3,female,24.0,2,0,15.02,S,1
317,2,female,17.7,0,1,44.2,S,1
318,1,female,38.5,1,0,53.41,,1
319,1,male,32.9,0,0,73.05,Q,1
320,2,female,,1,0,73.81,Q,1
321,3,female,14.6,0,1,27.42,S,0
322,3,male,40.5,1,1,20.8,S,0
323,3,male,37.8,0,0,19.01,C,0
324,2,female,,1,1,26.49,S,1
325,3,female,52.2,1,0,11.78,S,0
326,3,female,17.2,1,0,22.58,S,0
327,3,male,11.7,0,0,19.45,C,0
328,3,female,,0,0,111.81,S,1
329,2,male,29.5,0,0,44.47,S,0
330,2,male,32.9,0,2,32.8,Q,0
331,2,male,27.1,0,1,46.06,S,0
332,3,female,34.2,2,0,14.5,S,1
333,1,female,15.0,0,0,47.61,S,1
334,1,male,47.3,0,0,59.52,,0
335,1,male,29.0,0,0,50.14,S,0
336,1,female,43.4,0,0,45.41,S,0
337,3,male,34.1,1,0,162.73,Q,0
338,3,female,35.5,0,0,73.69,S,1
339,2,male,36.8,2,1,49.3,Q,0
340,1,male,35.4,0,0,55.28,S,0
341,2,male,37.7,3,0,49.08,S,1
342,2,male,45.9,2,1,26.74,S,0
343,1,female,,0,0,45.08,S,1
344,2,male,38.5,2,0,21.21,C,0
345,2,male,28.9,0,0,39.36,S,1
346,3,female,47.3,1,0,33.49,S,0
347,3,male,21.9,0,1,17.75,Q,0
348,1,male,51.6,2,0,129.75,Q,0
349,2,female,29.5,2,0,92.06,Q,1
350,3,female,12.8,1,1,48.42,S,1
351,3,male,31.5,1,1,32.87,C,1
352,3,female,21.8,0,1,71.2,S,0
353,3,female,40.1,0,0,14.2,S,0
354,1,male,22.2,0,0,76.89,S,0
355,1,male,24.6,0,2,34.0,S,0
356,3,female,,1,1,57.43,S,0
357,1,female,24.6,0,0,39.68,S,1
358,3,male,1.0,3,0,72.89,Q,0
359,3,female,11.0,1,0,96.49,S,0
360,3,female,39.1,1,2,14.83,S,0
361,2,male,39.4,0,0,38.63,S,0
362,3,male,35.1,2,0,128.88,Q,0
363,2,male,18.4,2,0,39.82,S,0
364,3,female,29.4,0,0,69.75,,0
365,3,male,30.0,1,1,36.66,C,1
366,2,female,16.1,1,0,34.12,C,1
367,3,female,48.0,0,1,20.1,S,1
368,3,female,40.5,0,2,16.82,C,0
369,1,male,27.3,0,0,73.04,C,0
370,1,female,30.3,0,0,44.66,C,1
371,1,male,32.5,0,0,51.48,S,1
372,1,female,,0,1,50.34,Q,1
373,1,male,27.0,0,0,55.83,S,1
374,3,male,21.8,0,0,70.2,S,0
375,1,female,18.0,3,1,148.49,S,1
376,2,male,26.6,0,0,35.71,S,1
377,3,male,51.6,3,2,62.72,S,0
378,1,female,37.7,0,0,73.38,C,0
379,3,female,23.1,0,0,35.57,S,1
380,2,female,36.9,0,0,113.74,S,1
381,1,female,46.8,0,1,36.71,S,1
382,3,male,41.1,0,0,13.47,S,0
383,3,male,30.7,1,1,67.72,Q,0
384,3,male,22.2,0,2,27.35,S,0
385,3,male,38.4,1,0,66.31,S,0
386,3,female,34.7,1,2,77.07,S,1
387,2,female,40.7,0,0,21.93,S,1
388,1,male,37.6,0,0,94.49,S,1
389,3,male,42.6,1,0,27.84,C,0
390,3,female,23.6,0,1,31.43,Q,1
391,3,male,45.8,0,0,39.55,S,0
392,2,female,32.4,3,0,98.27,C,1
393,2,male,54.9,0,0,20.58,C,0
394,3,female,21.7,1,0,29.44,C,1
395,2,male,50.8,3,0,54.92,S,1
396,3,female,32.4,0,1,48.48,S,0
397,3,female,22.2,0,1,45.38,S,1
398,2,female,24.2,0,0,24.33,C,1
399,3,female,26.2,0,2,20.67,C,0
400,3,female,,0,0,23.33,S,1
