age,annual_income,monthly_spend,tenure_months,num_products,satisfaction_score,is_active_member,has_credit_card,gender,city_segment,customer_churn
21,64068.25459321321,430.44710367365354,66,2,4,1,1,Female,Urban,1
62,70577.28569294477,165.90742300718958,36,3,5,1,1,Male,Rural,1
32,44842.141007529106,286.6189108627576,53,2,4,1,1,Male,Suburban,1
65,79485.65354912456,303.93108713973083,64,3,5,0,1,Male,Suburban,1
33,66260.047366694,543.0076924771931,36,2,1,1,1,Female,Suburban,1
40,27161.07493376179,270.3423775856451,24,3,2,0,0,Male,Suburban,1
52,25828.17119205938,40.0,70,3,2,1,1,Male,Urban,0
24,64753.614141413775,390.62225067274557,20,4,1,0,1,Male,Suburban,1
46,60580.65364427292,222.1369405654503,8,1,4,1,1,Female,Rural,1
44,62931.59772850733,325.96834342128454,44,4,4,1,1,Male,Urban,1
58,64440.35086939564,307.8613418821027,71,2,1,1,1,Male,Rural,1
69,69511.19679020361,281.68144058551246,11,1,1,0,0,Female,Suburban,1
52,83952.99219696599,430.64768144985857,62,3,1,1,0,Female,Rural,1
39,42777.901981648836,105.39891703062099,60,1,3,1,1,Female,Rural,0
39,41560.568141984106,247.61800850638957,67,1,3,1,1,Male,Urban,1
39,43133.52284225235,415.7653078364334,33,4,2,1,0,Female,Urban,1
60,70778.33334337414,234.02813145178845,22,1,5,0,1,Male,Rural,1
34,89898.94757292891,94.76706070220393,39,3,2,1,1,Female,Urban,1
26,56373.21123520979,413.59774805594304,15,1,3,1,0,Male,Suburban,0
35,15000.0,477.23324826181545,61,1,3,1,1,Male,Rural,0
19,30920.142747792488,313.70067092997914,49,1,2,1,1,Female,Suburban,0
23,48339.26554407977,45.48161621426544,37,1,5,1,1,Female,Urban,0
22,53845.422250095704,418.8357645378343,40,2,5,1,1,Male,Urban,1
58,56832.22745490547,87.61569660124368,53,2,1,1,1,Male,Rural,1
55,65771.62245961835,363.2318987587432,40,1,3,0,1,Female,Rural,1
54,58765.073383551055,195.75506453609762,61,2,1,1,1,Female,Suburban,1
42,85986.79221086815,157.62249999262485,67,2,3,0,1,Male,Suburban,1
55,51479.653886372624,258.13259760884335,68,3,4,1,1,Female,Rural,1
26,47753.64081048914,294.33834210018364,46,4,3,1,0,Female,Rural,1
64,74577.51077040924,229.81084494589726,55,3,2,1,1,Male,Suburban,1
44,34287.15860147761,402.4184589501211,26,4,2,1,0,Male,Suburban,1
66,72793.83410640004,257.5502870157633,8,1,2,0,1,Male,Rural,1
25,67051.06367452534,457.2267220340551,32,1,2,0,1,Male,Rural,1
43,62051.15020163665,359.3642431900871,63,4,2,0,1,Male,Suburban,1
54,96765.52214298525,222.34199107651688,14,2,4,0,1,Male,Rural,1
43,52555.851094105645,198.76841626347996,42,4,1,1,1,Male,Urban,1
41,106205.96341048158,89.35051813335858,18,2,1,1,0,Male,Rural,1
26,60491.37101543802,360.70264490135514,34,1,3,0,0,Male,Urban,1
37,39459.67110059544,270.35774338480985,15,4,4,1,0,Male,Urban,0
30,66398.3916198965,40.0,54,3,2,1,1,Male,Suburban,1
33,43475.095993624636,244.99991781228397,59,4,2,0,1,Male,Urban,1
53,49964.88304372999,193.8552359043067,56,2,4,0,1,Female,Suburban,1
50,72940.66600030982,540.5948629038925,52,1,2,0,1,Female,Rural,1
49,76111.6417730025,81.61099433493663,21,3,4,1,0,Male,Rural,1
36,52556.64599491484,118.21088803723248,41,1,1,0,0,Female,Suburban,1
67,84748.10290092802,475.39575003479797,12,3,1,1,1,Female,Suburban,1
22,88150.15516042267,509.94684204495485,30,2,3,1,0,Male,Suburban,1
35,93726.03513126582,215.7023885784102,39,4,2,1,0,Male,Urban,1
24,75588.26814251444,231.50798480675246,50,4,4,0,1,Female,Rural,1
35,92268.57424171397,406.2729555174638,12,2,3,0,0,Female,Urban,1
68,27384.031440518847,40.0,59,4,2,0,1,Male,Suburban,0
37,58641.869027430745,59.43288416922212,36,1,1,1,1,Male,Rural,1
65,47659.89487353148,280.69732388090034,64,1,1,1,1,Male,Rural,1
43,67384.51722254785,536.9846792580777,40,4,4,1,1,Male,Suburban,1
54,53571.015616065255,258.99778765665644,42,3,2,0,1,Male,Urban,1
41,61676.84316100535,334.13115084292167,51,2,3,1,0,Male,Rural,1
31,102643.49760408099,478.73049815896167,60,1,5,1,1,Male,Rural,1
57,61605.60407159243,614.9638626589405,16,2,5,0,1,Male,Suburban,1
68,73275.84634380428,239.24121375923625,39,3,2,1,1,Male,Urban,1
31,60354.61340151529,317.64285867732036,7,4,1,0,1,Female,Suburban,1
58,66514.26575913667,575.0877309879979,37,4,4,1,0,Female,Suburban,1
31,65120.33360872143,106.89210147320003,59,2,4,0,1,Male,Rural,1
55,73966.48131946319,463.8613498775351,63,2,2,1,0,Female,Rural,1
59,88306.15071094353,177.43582546942383,24,1,3,1,1,Female,Urban,1
41,97947.87995206658,334.34613139444195,31,1,1,1,1,Female,Urban,1
56,71192.40163818334,286.0333333639616,42,2,4,1,1,Male,Rural,1
32,76790.93772071204,185.8783759018279,32,3,4,0,1,Male,Urban,1
22,41982.70981628866,182.3657301278415,17,1,2,1,0,Male,Suburban,0
23,63242.46515168759,358.69801099552564,26,2,3,1,1,Male,Urban,1
41,83805.78929767178,459.3755059427755,32,3,2,0,1,Female,Suburban,1
64,82319.37276834306,301.83693155360953,40,4,1,1,1,Female,Suburban,1
24,69232.19465590101,329.8158422226503,66,4,1,0,0,Male,Urban,1
41,82727.87919135904,399.9643692807466,41,2,5,0,1,Male,Suburban,1
54,74815.33417987637,183.97337177818562,31,2,3,1,1,Female,Suburban,1
28,89006.12516518643,423.5569511778092,49,4,1,0,0,Male,Urban,1
55,70787.18313914222,434.7080335883646,57,3,1,1,1,Female,Rural,1
33,57886.03368857931,684.5076818250574,34,2,2,1,1,Male,Rural,1
60,71716.82513866047,267.3454133216585,38,3,5,1,1,Male,Suburban,1
48,15000.0,255.86854776646214,20,1,2,0,1,Male,Urban,0
46,72657.714727701,427.65522202032435,63,2,5,0,0,Male,Suburban,1
27,15000.0,434.67458364769936,63,2,3,1,1,Female,Suburban,0
42,30530.731851891636,245.0877985272603,17,4,4,0,0,Male,Suburban,1
62,74035.37201881967,263.5572252297932,28,1,4,1,1,Male,Suburban,1
19,74550.58674533591,395.75831735052566,23,4,1,0,1,Male,Rural,1
57,41751.424397201394,204.1382062971474,66,2,1,0,1,Male,Urban,1
43,50757.959162421226,262.5252416778979,10,1,5,0,1,Male,Urban,1
55,92410.81977228264,332.54298743158085,19,3,5,0,1,Female,Urban,1
52,55319.39736854647,459.43141587511616,26,3,1,0,1,Female,Urban,1
40,109858.4062480597,235.3561937348643,42,1,4,1,1,Female,Rural,1
34,64961.60293647308,62.06617531570595,22,1,5,0,0,Male,Rural,1
50,73160.72353762534,51.676354547450444,41,1,5,0,1,Male,Suburban,1
25,97337.48796997215,143.68217066114133,55,2,2,0,0,Male,Rural,1
48,67620.54232386839,136.15651945200878,60,1,5,1,1,Male,Urban,1
22,44953.120386183975,298.3544937932127,12,3,4,0,1,Female,Urban,1
51,62805.4509661142,153.5567784963353,15,1,5,1,1,Female,Rural,1
50,64287.785276198185,221.61430562503142,12,4,1,1,0,Male,Suburban,1
22,37705.16695596869,211.62797610251303,66,4,4,1,1,Male,Suburban,0
57,59883.358573183534,258.3288994812809,49,3,1,1,1,Male,Rural,1
39,50156.15812005127,505.15060641323714,41,4,2,0,1,Male,Urban,1
58,83487.15514374868,412.67266252027235,58,4,1,1,1,Female,Rural,1
20,65692.23748370512,322.25811813864055,44,1,3,0,0,Male,Rural,1
27,59344.0850170486,255.45632071868266,21,2,5,0,1,Female,Suburban,1
43,62876.36138754847,259.347428072777,39,4,4,1,0,Male,Suburban,1
27,69462.44036812332,365.8845057932729,52,2,2,0,1,Female,Urban,1
35,77336.2839937956,401.7836702693206,8,3,3,1,1,Female,Urban,1
52,45005.75542661238,192.93354914591595,46,4,2,0,1,Male,Urban,1
25,44168.247347574565,325.1073057859924,38,4,4,0,1,Female,Rural,1
53,87093.5843080506,40.0,10,2,2,1,1,Male,Urban,1
23,56753.262555905385,349.6399297838836,23,2,1,0,1,Female,Urban,1
27,36663.15814806252,426.70089387421604,35,1,3,1,1,Male,Urban,1
48,73876.2541876621,280.79039223667746,28,2,5,1,1,Female,Urban,1
59,74267.39612065374,574.3137794596148,25,2,3,0,1,Female,Urban,1
26,34385.69485486587,196.62661735895296,48,2,2,1,0,Female,Urban,0
33,69589.63430927212,350.44165814245656,32,2,1,0,1,Male,Rural,1
66,79711.66184856747,314.98453546676626,38,4,5,1,1,Female,Rural,1
69,72487.72903412527,305.9583265579228,58,4,4,1,1,Male,Suburban,1
48,77639.6296752279,303.99489647933535,12,3,1,0,1,Female,Rural,1
41,36914.61803818501,334.99470420132604,29,1,1,1,1,Female,Suburban,1
36,71620.80309992391,438.714224084918,10,2,1,0,0,Male,Rural,1
49,58947.60481059107,512.8830730784642,67,3,2,1,1,Male,Rural,1
48,55344.196825507104,319.68496576941794,18,1,5,0,0,Male,Urban,1
33,82411.11218839453,434.14425010402863,60,2,1,0,1,Female,Suburban,1
19,94585.4902134846,221.75262752265047,18,3,5,1,0,Female,Rural,1
25,100887.40109200717,427.2337633816726,27,4,1,1,1,Female,Urban,1
67,91296.1574301181,213.32118666422136,46,4,4,1,0,Male,Suburban,1
39,62805.31636739633,472.6923910523385,60,2,2,0,1,Female,Suburban,1
43,72054.40326052686,629.4897228350535,17,2,5,1,1,Male,Urban,1
42,80336.45743568488,302.90825568400516,20,2,3,1,1,Male,Urban,1
58,67423.55898598924,40.0,64,3,2,0,1,Male,Urban,1
21,67615.28375823089,243.2697893457248,27,2,2,1,1,Male,Rural,1
22,81475.06263752365,492.4625188005025,19,2,5,1,1,Female,Rural,1
32,63814.347079481355,397.4307501835343,55,1,3,1,1,Male,Suburban,1
43,50414.26127252677,354.84790381450415,12,2,2,1,0,Male,Urban,1
52,56710.53868328283,461.21356983367747,63,1,4,0,1,Male,Urban,1
43,77678.20755467485,387.82348149477906,63,3,3,0,0,Male,Suburban,1
40,65059.86582399911,490.4815262431591,62,4,4,0,1,Female,Urban,1
66,71804.19953736676,448.71931473057793,25,4,3,0,1,Male,Suburban,1
26,78401.5848440438,533.0380633831742,13,2,1,1,1,Male,Rural,1
47,57503.170742047805,370.2314517468756,34,4,1,1,1,Male,Urban,1
46,80124.96327259613,446.73631620915364,28,4,1,0,1,Female,Suburban,1
42,72576.85206916789,277.00220976799005,69,2,3,0,1,Female,Rural,1
59,40303.73826177043,235.79548638173918,47,4,3,0,1,Female,Suburban,1
31,93846.09582372489,558.9474696586562,68,2,4,1,1,Male,Rural,1
67,54985.10512486168,350.26865468517633,55,4,5,0,1,Male,Rural,1
35,31898.093136296324,432.6832792207331,53,2,1,0,1,Male,Suburban,1
46,44099.12580827395,337.3236020175946,13,2,5,0,0,Male,Urban,1
45,44579.09678643356,237.88780887120498,10,1,5,0,1,Male,Rural,0
62,66043.46637315067,321.5376049615362,9,4,4,1,1,Female,Suburban,1
40,59522.98988907526,521.03916248748,45,2,3,1,1,Female,Suburban,1
32,58263.36064718814,397.73361039911936,19,4,1,1,0,Female,Urban,1
19,77394.03930964958,80.39375763773572,71,1,1,1,1,Female,Rural,1
36,71797.50722385407,289.86577607933833,14,3,1,0,1,Female,Urban,1
60,71320.95741288572,569.5211309786597,68,2,4,1,0,Male,Urban,1
18,73196.56914657385,290.0684393410061,50,2,3,1,0,Male,Urban,1
64,77322.69336004477,67.93298315721472,12,1,1,1,1,Male,Suburban,1
46,22840.93316445114,585.0268439591562,9,1,1,0,1,Male,Urban,1
25,57711.23495471077,415.534951373791,32,2,1,1,1,Female,Suburban,1
33,21395.798710210518,310.19819976620795,28,2,4,1,1,Male,Urban,0
46,65721.1985359559,268.0015169485104,26,4,4,0,0,Female,Suburban,1
34,64907.340555513096,471.52927017084295,40,2,4,1,1,Female,Rural,1
23,85910.64549579361,244.12232396833303,14,1,1,1,1,Male,Suburban,1
52,88752.68785442242,480.7558994322384,14,2,1,1,1,Female,Suburban,1
52,69055.50096504735,395.9073400013958,51,3,1,0,1,Male,Urban,1
24,54992.778452062004,354.255469568229,71,2,4,0,1,Male,Urban,1
32,74703.22225091475,340.37207274698335,24,4,4,0,1,Male,Rural,1
30,54441.64725351373,295.5044748600151,67,2,2,1,1,Male,Suburban,1
52,64972.14697113302,466.3896168292972,28,3,1,0,1,Male,Urban,1
55,84722.72633921535,198.8520035057432,28,1,2,0,1,Female,Suburban,1
55,53844.57308021153,92.93048224377071,11,1,5,1,1,Female,Urban,0
66,81113.57278485002,406.02161720494644,33,4,1,1,1,Female,Urban,1
57,78548.02737384605,408.3733659294007,38,2,4,1,1,Female,Suburban,1
34,45904.16365738357,387.23376135164733,49,2,3,0,0,Female,Suburban,1
23,84477.88256434802,377.0819717465254,16,3,1,1,0,Female,Suburban,1
49,78971.3269074301,275.1243470327433,18,1,5,1,0,Male,Rural,1
65,67038.51774745315,430.24757861397353,34,3,3,0,1,Female,Urban,1
68,49753.530839446954,313.62186225436426,10,2,4,0,1,Female,Urban,1
29,47815.879628488605,251.80410148587507,15,1,1,0,1,Male,Suburban,1
30,54246.748461939555,276.335216284244,47,2,2,0,1,Male,Rural,1
19,75851.8892658392,602.8895578286165,68,2,4,1,1,Female,Rural,1
25,45887.49665197204,77.10334851363942,43,1,4,0,1,Female,Rural,1
46,73750.2449723974,389.9703346014118,15,3,1,1,1,Male,Urban,1
46,40164.88942243215,84.9245401326796,71,3,4,1,1,Male,Rural,0
37,60918.62831122302,304.84733263478375,40,2,5,0,1,Male,Rural,1
34,67192.95509148017,259.2921520784137,53,4,4,1,1,Male,Suburban,1
61,113902.60290117832,40.0,19,3,2,1,1,Female,Suburban,1
41,37453.68688959265,374.4652626607268,44,4,5,0,0,Male,Suburban,1
60,94440.29132980267,266.79467129309256,11,1,4,1,1,Male,Suburban,1
68,67996.8482797456,40.0,47,4,1,1,1,Female,Rural,1
34,73223.43836031927,437.5395327083953,19,2,1,0,1,Female,Urban,1
28,67366.95826776409,520.9008649184509,66,3,5,0,1,Female,Suburban,1
67,73894.53636390466,528.6174079215201,9,4,2,0,1,Female,Rural,1
51,61926.29791275965,370.25390169120595,49,2,1,1,1,Male,Suburban,1
33,94081.00362914917,326.44813940079615,15,2,3,0,0,Female,Rural,1
50,55870.577115505555,505.94192692541156,51,1,3,0,1,Female,Urban,1
44,87644.69144358495,555.5337019476137,38,3,3,1,1,Female,Urban,1
65,52112.65759573954,478.6996184025875,69,4,4,1,1,Male,Rural,1
31,63794.96307197426,188.18473568782784,49,2,5,1,0,Male,Urban,1
69,43560.74895419562,348.18827945008906,30,1,4,1,1,Female,Suburban,1
66,74100.4744069504,381.5322602008,11,2,1,1,0,Male,Urban,1
27,93902.51913853068,66.6536243515879,45,2,1,0,1,Female,Rural,1
26,63452.876403582915,385.7104923469084,35,4,1,0,1,Female,Urban,1
45,61062.28602592181,638.2188556371145,9,1,2,1,0,Female,Suburban,1
20,42707.66073864147,409.5910632121108,44,2,2,0,1,Female,Rural,1
33,60414.146928953836,526.2778314018459,19,3,5,1,1,Female,Suburban,1
40,33144.11480556945,345.6080622180187,21,1,2,1,0,Female,Suburban,0
68,46742.44026562346,309.749434642265,6,4,1,0,1,Female,Rural,1
69,69535.7209221827,373.3779946113366,30,4,5,1,1,Male,Suburban,1
25,91380.26395482793,205.78426928217942,20,2,2,0,0,Male,Rural,1
64,121184.21722459006,185.0714737871856,10,3,5,1,0,Male,Rural,1
22,53268.29829858198,497.2826380037112,34,4,4,1,0,Male,Suburban,1
56,93706.0031329088,512.1279280013125,20,3,5,1,0,Male,Rural,1
61,69875.04960803296,181.24511581777094,14,1,5,1,1,Male,Suburban,1
64,61975.04706507248,455.519832637541,36,1,1,0,0,Female,Rural,1
29,73651.88903452305,307.82560341515705,10,2,4,0,1,Male,Suburban,1
64,66238.32967359919,367.5732004286603,71,1,3,1,1,Female,Suburban,1
24,67207.91451224437,384.4306095209089,37,2,4,1,1,Female,Suburban,1
44,56833.336743466614,459.20906553740457,71,3,4,0,0,Female,Suburban,1
42,37037.806804022985,331.58054826084646,64,3,3,0,1,Male,Suburban,1
34,34127.49594955837,517.4226793422711,70,1,2,1,0,Male,Urban,1
19,78064.89766562454,363.31779756638946,41,1,5,1,1,Female,Suburban,1
58,59465.998198285735,407.38579814573455,33,1,4,1,1,Male,Suburban,1
35,53078.22200687667,203.3432371847855,53,2,5,1,1,Female,Suburban,0
52,65170.11253446307,622.2122614986768,11,4,2,1,1,Male,Suburban,1
39,80898.64505831256,385.7754892486953,61,2,5,1,1,Female,Suburban,1
